Machine Module,T3SA3200
Y Axis Scale,LOG
Y Axis Unit,dBm
PreAmp State,OFF
Ref Level,-20.00 dBm
Ref Offset,0.00 dB
Attenuation,0,Manual
X Axis Scale,LINE
Impedance,50
Number of Points,751
Sweep Time(s),0.024000,Auto
Sweep Times Type,Continuous
Sweep Mode,Auto
Sweep Rule,Speed
Start Frequency,150000000
Stop Frequency,250000000
Offset Frequency,0
Average Type,Log Pwr
RBW,1000000.000000,Auto
VBW,1000000.000000,Auto
RBW Filter,Gaussian
Trigger Source,FreeRun
Trigger Level,0.00 dBm
External Trigger Edge,RISE
Video Trigger Edge,RISE
Marker Information
Marker,Trace,Type,X Axis,Amplitude
Peak Table Information
Peak Threshold,-90.00 dBm
Peak Excursion,15.00 dB
Peak,Trace,X Axis,Amplitude
0,1,190.533333 MHz,-45.18 dBm
Trace Math Type,Off
Trace Math Offset, 0
Trace Variable X,Trace A
Trace Variable Y,Trace B
Trace Variable Z,Trace C
Trace Name,Trace A,Trace B,Trace C,Trace D
Trace Type,Average,Blank,Blank,Blank
Trace Detector,Pos Peak,Pos Peak,Pos Peak,Pos Peak
Trace Data
150000000.000000,-61.42,,,
150133333.000000,-61.35,,,
150266667.000000,-61.20,,,
150400000.000000,-61.06,,,
150533333.000000,-60.96,,,
150666667.000000,-60.98,,,
150800000.000000,-60.98,,,
150933333.000000,-60.82,,,
151066667.000000,-60.77,,,
151200000.000000,-60.82,,,
151333333.000000,-60.75,,,
151466667.000000,-60.68,,,
151600000.000000,-60.58,,,
151733333.000000,-60.62,,,
151866667.000000,-60.57,,,
152000000.000000,-60.70,,,
152133333.000000,-60.66,,,
152266667.000000,-60.67,,,
152400000.000000,-60.82,,,
152533333.000000,-60.85,,,
152666667.000000,-60.81,,,
152800000.000000,-61.02,,,
152933333.000000,-61.12,,,
153066667.000000,-61.00,,,
153200000.000000,-61.21,,,
153333333.000000,-61.39,,,
153466667.000000,-61.31,,,
153600000.000000,-61.45,,,
153733333.000000,-61.59,,,
153866667.000000,-61.94,,,
154000000.000000,-61.98,,,
154133333.000000,-62.09,,,
154266667.000000,-62.15,,,
154400000.000000,-62.38,,,
154533333.000000,-62.47,,,
154666667.000000,-62.79,,,
154800000.000000,-62.92,,,
154933333.000000,-63.13,,,
155066667.000000,-63.17,,,
155200000.000000,-63.62,,,
155333333.000000,-63.55,,,
155466667.000000,-63.74,,,
155600000.000000,-63.88,,,
155733333.000000,-64.06,,,
155866667.000000,-64.36,,,
156000000.000000,-64.42,,,
156133333.000000,-64.62,,,
156266667.000000,-64.83,,,
156400000.000000,-65.25,,,
156533333.000000,-65.26,,,
156666667.000000,-65.50,,,
156800000.000000,-65.61,,,
156933333.000000,-65.81,,,
157066667.000000,-65.99,,,
157200000.000000,-66.17,,,
157333333.000000,-66.30,,,
157466667.000000,-66.49,,,
157600000.000000,-66.79,,,
157733333.000000,-66.96,,,
157866667.000000,-67.25,,,
158000000.000000,-67.44,,,
158133333.000000,-67.55,,,
158266667.000000,-67.58,,,
158400000.000000,-67.82,,,
158533333.000000,-68.06,,,
158666667.000000,-68.21,,,
158800000.000000,-68.33,,,
158933333.000000,-68.39,,,
159066667.000000,-68.78,,,
159200000.000000,-68.91,,,
159333333.000000,-68.79,,,
159466667.000000,-69.23,,,
159600000.000000,-69.45,,,
159733333.000000,-69.50,,,
159866667.000000,-69.76,,,
160000000.000000,-69.74,,,
160133333.000000,-70.20,,,
160266667.000000,-70.04,,,
160400000.000000,-70.24,,,
160533333.000000,-70.23,,,
160666667.000000,-70.43,,,
160800000.000000,-70.61,,,
160933333.000000,-70.72,,,
161066667.000000,-70.68,,,
161200000.000000,-71.16,,,
161333333.000000,-71.47,,,
161466667.000000,-71.24,,,
161600000.000000,-71.49,,,
161733333.000000,-71.26,,,
161866667.000000,-71.61,,,
162000000.000000,-71.48,,,
162133333.000000,-71.84,,,
162266667.000000,-71.70,,,
162400000.000000,-71.99,,,
162533333.000000,-72.31,,,
162666667.000000,-72.07,,,
162800000.000000,-72.17,,,
162933333.000000,-72.41,,,
163066667.000000,-72.24,,,
163200000.000000,-72.20,,,
163333333.000000,-72.34,,,
163466667.000000,-72.55,,,
163600000.000000,-72.37,,,
163733333.000000,-72.68,,,
163866667.000000,-72.86,,,
164000000.000000,-72.63,,,
164133333.000000,-72.38,,,
164266667.000000,-72.17,,,
164400000.000000,-72.43,,,
164533333.000000,-72.46,,,
164666667.000000,-72.61,,,
164800000.000000,-72.26,,,
164933333.000000,-72.76,,,
165066667.000000,-72.71,,,
165200000.000000,-71.93,,,
165333333.000000,-72.41,,,
165466667.000000,-72.26,,,
165600000.000000,-72.33,,,
165733333.000000,-72.40,,,
165866667.000000,-72.24,,,
166000000.000000,-71.93,,,
166133333.000000,-72.26,,,
166266667.000000,-71.81,,,
166400000.000000,-72.05,,,
166533333.000000,-71.87,,,
166666667.000000,-71.50,,,
166800000.000000,-71.55,,,
166933333.000000,-71.69,,,
167066667.000000,-71.24,,,
167200000.000000,-71.22,,,
167333333.000000,-71.52,,,
167466667.000000,-71.12,,,
167600000.000000,-70.92,,,
167733333.000000,-70.63,,,
167866667.000000,-70.31,,,
168000000.000000,-70.50,,,
168133333.000000,-70.36,,,
168266667.000000,-69.98,,,
168400000.000000,-69.88,,,
168533333.000000,-69.87,,,
168666667.000000,-69.66,,,
168800000.000000,-69.68,,,
168933333.000000,-69.16,,,
169066667.000000,-69.13,,,
169200000.000000,-69.14,,,
169333333.000000,-68.59,,,
169466667.000000,-68.60,,,
169600000.000000,-68.45,,,
169733333.000000,-68.20,,,
169866667.000000,-68.14,,,
170000000.000000,-68.08,,,
170133333.000000,-67.72,,,
170266667.000000,-67.55,,,
170400000.000000,-67.31,,,
170533333.000000,-67.07,,,
170666667.000000,-67.11,,,
170800000.000000,-66.72,,,
170933333.000000,-66.45,,,
171066667.000000,-66.31,,,
171200000.000000,-66.22,,,
171333333.000000,-65.92,,,
171466667.000000,-65.78,,,
171600000.000000,-65.32,,,
171733333.000000,-65.36,,,
171866667.000000,-65.04,,,
172000000.000000,-65.00,,,
172133333.000000,-64.62,,,
172266667.000000,-64.53,,,
172400000.000000,-64.36,,,
172533333.000000,-63.96,,,
172666667.000000,-63.84,,,
172800000.000000,-63.69,,,
172933333.000000,-63.43,,,
173066667.000000,-63.16,,,
173200000.000000,-63.13,,,
173333333.000000,-62.80,,,
173466667.000000,-62.59,,,
173600000.000000,-62.39,,,
173733333.000000,-62.30,,,
173866667.000000,-61.93,,,
174000000.000000,-61.87,,,
174133333.000000,-61.62,,,
174266667.000000,-61.37,,,
174400000.000000,-61.28,,,
174533333.000000,-61.06,,,
174666667.000000,-60.87,,,
174800000.000000,-60.72,,,
174933333.000000,-60.56,,,
175066667.000000,-60.27,,,
175200000.000000,-60.05,,,
175333333.000000,-59.89,,,
175466667.000000,-59.70,,,
175600000.000000,-59.44,,,
175733333.000000,-59.42,,,
175866667.000000,-59.20,,,
176000000.000000,-59.08,,,
176133333.000000,-58.92,,,
176266667.000000,-58.80,,,
176400000.000000,-58.56,,,
176533333.000000,-58.48,,,
176666667.000000,-58.28,,,
176800000.000000,-58.04,,,
176933333.000000,-57.97,,,
177066667.000000,-57.82,,,
177200000.000000,-57.69,,,
177333333.000000,-57.53,,,
177466667.000000,-57.40,,,
177600000.000000,-57.36,,,
177733333.000000,-57.16,,,
177866667.000000,-57.04,,,
178000000.000000,-56.87,,,
178133333.000000,-56.83,,,
178266667.000000,-56.77,,,
178400000.000000,-56.64,,,
178533333.000000,-56.45,,,
178666667.000000,-56.49,,,
178800000.000000,-56.33,,,
178933333.000000,-56.24,,,
179066667.000000,-56.14,,,
179200000.000000,-56.06,,,
179333333.000000,-55.98,,,
179466667.000000,-55.87,,,
179600000.000000,-55.84,,,
179733333.000000,-55.72,,,
179866667.000000,-55.64,,,
180000000.000000,-55.64,,,
180133333.000000,-55.58,,,
180266667.000000,-55.52,,,
180400000.000000,-55.38,,,
180533333.000000,-55.33,,,
180666667.000000,-55.29,,,
180800000.000000,-55.23,,,
180933333.000000,-55.15,,,
181066667.000000,-55.17,,,
181200000.000000,-55.07,,,
181333333.000000,-54.98,,,
181466667.000000,-54.93,,,
181600000.000000,-54.87,,,
181733333.000000,-54.71,,,
181866667.000000,-54.69,,,
182000000.000000,-54.68,,,
182133333.000000,-54.62,,,
182266667.000000,-54.48,,,
182400000.000000,-54.50,,,
182533333.000000,-54.42,,,
182666667.000000,-54.36,,,
182800000.000000,-54.22,,,
182933333.000000,-54.07,,,
183066667.000000,-54.06,,,
183200000.000000,-53.94,,,
183333333.000000,-53.88,,,
183466667.000000,-53.78,,,
183600000.000000,-53.68,,,
183733333.000000,-53.57,,,
183866667.000000,-53.47,,,
184000000.000000,-53.30,,,
184133333.000000,-53.15,,,
184266667.000000,-53.01,,,
184400000.000000,-52.92,,,
184533333.000000,-52.80,,,
184666667.000000,-52.63,,,
184800000.000000,-52.50,,,
184933333.000000,-52.32,,,
185066667.000000,-52.19,,,
185200000.000000,-52.00,,,
185333333.000000,-51.80,,,
185466667.000000,-51.59,,,
185600000.000000,-51.40,,,
185733333.000000,-51.22,,,
185866667.000000,-51.02,,,
186000000.000000,-50.83,,,
186133333.000000,-50.65,,,
186266667.000000,-50.47,,,
186400000.000000,-50.19,,,
186533333.000000,-49.99,,,
186666667.000000,-49.74,,,
186800000.000000,-49.51,,,
186933333.000000,-49.33,,,
187066667.000000,-49.09,,,
187200000.000000,-48.86,,,
187333333.000000,-48.64,,,
187466667.000000,-48.44,,,
187600000.000000,-48.23,,,
187733333.000000,-47.99,,,
187866667.000000,-47.74,,,
188000000.000000,-47.50,,,
188133333.000000,-47.33,,,
188266667.000000,-47.10,,,
188400000.000000,-46.92,,,
188533333.000000,-46.72,,,
188666667.000000,-46.56,,,
188800000.000000,-46.39,,,
188933333.000000,-46.18,,,
189066667.000000,-46.03,,,
189200000.000000,-45.85,,,
189333333.000000,-45.69,,,
189466667.000000,-45.61,,,
189600000.000000,-45.51,,,
189733333.000000,-45.42,,,
189866667.000000,-45.33,,,
190000000.000000,-45.31,,,
190133333.000000,-45.27,,,
190266667.000000,-45.22,,,
190400000.000000,-45.20,,,
190533333.000000,-45.18,,,
190666667.000000,-45.23,,,
190800000.000000,-45.30,,,
190933333.000000,-45.36,,,
191066667.000000,-45.44,,,
191200000.000000,-45.55,,,
191333333.000000,-45.67,,,
191466667.000000,-45.79,,,
191600000.000000,-45.92,,,
191733333.000000,-46.05,,,
191866667.000000,-46.21,,,
192000000.000000,-46.39,,,
192133333.000000,-46.60,,,
192266667.000000,-46.81,,,
192400000.000000,-47.03,,,
192533333.000000,-47.24,,,
192666667.000000,-47.46,,,
192800000.000000,-47.66,,,
192933333.000000,-47.89,,,
193066667.000000,-48.09,,,
193200000.000000,-48.35,,,
193333333.000000,-48.66,,,
193466667.000000,-48.89,,,
193600000.000000,-49.15,,,
193733333.000000,-49.39,,,
193866667.000000,-49.69,,,
194000000.000000,-49.92,,,
194133333.000000,-50.17,,,
194266667.000000,-50.37,,,
194400000.000000,-50.62,,,
194533333.000000,-50.92,,,
194666667.000000,-51.20,,,
194800000.000000,-51.50,,,
194933333.000000,-51.72,,,
195066667.000000,-51.99,,,
195200000.000000,-52.24,,,
195333333.000000,-52.47,,,
195466667.000000,-52.66,,,
195600000.000000,-52.94,,,
195733333.000000,-53.22,,,
195866667.000000,-53.48,,,
196000000.000000,-53.75,,,
196133333.000000,-54.05,,,
196266667.000000,-54.21,,,
196400000.000000,-54.48,,,
196533333.000000,-54.72,,,
196666667.000000,-54.95,,,
196800000.000000,-55.16,,,
196933333.000000,-55.34,,,
197066667.000000,-55.68,,,
197200000.000000,-55.90,,,
197333333.000000,-56.12,,,
197466667.000000,-56.27,,,
197600000.000000,-56.53,,,
197733333.000000,-56.76,,,
197866667.000000,-56.88,,,
198000000.000000,-57.07,,,
198133333.000000,-57.24,,,
198266667.000000,-57.50,,,
198400000.000000,-57.70,,,
198533333.000000,-57.86,,,
198666667.000000,-58.09,,,
198800000.000000,-58.26,,,
