Machine Module,T3SA3200
Y Axis Scale,LOG
Y Axis Unit,dBm
PreAmp State,OFF
Ref Level,-20.00 dBm
Ref Offset,0.00 dB
Attenuation,0,Manual
X Axis Scale,LINE
Impedance,50
Number of Points,751
Sweep Time(s),0.024000,Auto
Sweep Times Type,Continuous
Sweep Mode,Auto
Sweep Rule,Speed
Start Frequency,250000000
Stop Frequency,350000000
Offset Frequency,0
Average Type,Log Pwr
RBW,1000000.000000,Auto
VBW,1000000.000000,Auto
RBW Filter,Gaussian
Trigger Source,FreeRun
Trigger Level,0.00 dBm
External Trigger Edge,RISE
Video Trigger Edge,RISE
Marker Information
Marker,Trace,Type,X Axis,Amplitude
Peak Table Information
Peak Threshold,-90.00 dBm
Peak Excursion,15.00 dB
Peak,Trace,X Axis,Amplitude
0,1,309.333333 MHz,-48.06 dBm
Trace Math Type,Off
Trace Math Offset, 0
Trace Variable X,Trace A
Trace Variable Y,Trace B
Trace Variable Z,Trace C
Trace Name,Trace A,Trace B,Trace C,Trace D
Trace Type,Average,Blank,Blank,Blank
Trace Detector,Pos Peak,Pos Peak,Pos Peak,Pos Peak
Trace Data
250000000.000000,-63.11,,,
250133333.000000,-63.18,,,
250266667.000000,-63.18,,,
250400000.000000,-63.22,,,
250533333.000000,-63.10,,,
250666667.000000,-63.26,,,
250800000.000000,-63.36,,,
250933333.000000,-63.36,,,
251066667.000000,-63.29,,,
251200000.000000,-63.32,,,
251333333.000000,-63.40,,,
251466667.000000,-63.56,,,
251600000.000000,-63.34,,,
251733333.000000,-63.29,,,
251866667.000000,-63.31,,,
252000000.000000,-63.35,,,
252133333.000000,-63.46,,,
252266667.000000,-63.42,,,
252400000.000000,-63.43,,,
252533333.000000,-63.43,,,
252666667.000000,-63.33,,,
252800000.000000,-63.41,,,
252933333.000000,-63.42,,,
253066667.000000,-63.51,,,
253200000.000000,-63.41,,,
253333333.000000,-63.45,,,
253466667.000000,-63.43,,,
253600000.000000,-63.47,,,
253733333.000000,-63.47,,,
253866667.000000,-63.46,,,
254000000.000000,-63.50,,,
254133333.000000,-63.35,,,
254266667.000000,-63.41,,,
254400000.000000,-63.38,,,
254533333.000000,-63.49,,,
254666667.000000,-63.35,,,
254800000.000000,-63.50,,,
254933333.000000,-63.36,,,
255066667.000000,-63.39,,,
255200000.000000,-63.52,,,
255333333.000000,-63.33,,,
255466667.000000,-63.43,,,
255600000.000000,-63.36,,,
255733333.000000,-63.51,,,
255866667.000000,-63.35,,,
256000000.000000,-63.42,,,
256133333.000000,-63.52,,,
256266667.000000,-63.47,,,
256400000.000000,-63.43,,,
256533333.000000,-63.56,,,
256666667.000000,-63.44,,,
256800000.000000,-63.49,,,
256933333.000000,-63.54,,,
257066667.000000,-63.34,,,
257200000.000000,-63.58,,,
257333333.000000,-63.45,,,
257466667.000000,-63.54,,,
257600000.000000,-63.38,,,
257733333.000000,-63.30,,,
257866667.000000,-63.34,,,
258000000.000000,-63.30,,,
258133333.000000,-63.46,,,
258266667.000000,-63.50,,,
258400000.000000,-63.35,,,
258533333.000000,-63.39,,,
258666667.000000,-63.56,,,
258800000.000000,-63.54,,,
258933333.000000,-63.57,,,
259066667.000000,-63.56,,,
259200000.000000,-63.60,,,
259333333.000000,-63.52,,,
259466667.000000,-63.44,,,
259600000.000000,-63.52,,,
259733333.000000,-63.60,,,
259866667.000000,-63.50,,,
260000000.000000,-63.70,,,
260133333.000000,-63.61,,,
260266667.000000,-63.62,,,
260400000.000000,-63.63,,,
260533333.000000,-63.67,,,
260666667.000000,-63.70,,,
260800000.000000,-63.83,,,
260933333.000000,-63.69,,,
261066667.000000,-63.78,,,
261200000.000000,-63.75,,,
261333333.000000,-63.87,,,
261466667.000000,-63.79,,,
261600000.000000,-63.96,,,
261733333.000000,-63.90,,,
261866667.000000,-63.89,,,
262000000.000000,-64.09,,,
262133333.000000,-64.07,,,
262266667.000000,-64.00,,,
262400000.000000,-64.10,,,
262533333.000000,-64.22,,,
262666667.000000,-64.12,,,
262800000.000000,-64.18,,,
262933333.000000,-64.26,,,
263066667.000000,-64.23,,,
263200000.000000,-64.35,,,
263333333.000000,-64.46,,,
263466667.000000,-64.48,,,
263600000.000000,-64.48,,,
263733333.000000,-64.70,,,
263866667.000000,-64.64,,,
264000000.000000,-64.65,,,
264133333.000000,-64.63,,,
264266667.000000,-64.57,,,
264400000.000000,-64.88,,,
264533333.000000,-64.91,,,
264666667.000000,-64.97,,,
264800000.000000,-64.95,,,
264933333.000000,-64.97,,,
265066667.000000,-64.99,,,
265200000.000000,-65.27,,,
265333333.000000,-65.22,,,
265466667.000000,-65.13,,,
265600000.000000,-65.31,,,
265733333.000000,-65.23,,,
265866667.000000,-65.40,,,
266000000.000000,-65.36,,,
266133333.000000,-65.58,,,
266266667.000000,-65.61,,,
266400000.000000,-65.53,,,
266533333.000000,-65.70,,,
266666667.000000,-65.75,,,
266800000.000000,-65.80,,,
266933333.000000,-65.88,,,
267066667.000000,-65.79,,,
267200000.000000,-65.96,,,
267333333.000000,-66.01,,,
267466667.000000,-66.07,,,
267600000.000000,-66.07,,,
267733333.000000,-66.07,,,
267866667.000000,-66.01,,,
268000000.000000,-66.05,,,
268133333.000000,-66.13,,,
268266667.000000,-66.17,,,
268400000.000000,-66.15,,,
268533333.000000,-66.23,,,
268666667.000000,-66.25,,,
268800000.000000,-66.39,,,
268933333.000000,-66.23,,,
269066667.000000,-66.29,,,
269200000.000000,-66.29,,,
269333333.000000,-66.29,,,
269466667.000000,-66.31,,,
269600000.000000,-66.24,,,
269733333.000000,-66.28,,,
269866667.000000,-66.22,,,
270000000.000000,-66.50,,,
270133333.000000,-66.69,,,
270266667.000000,-66.36,,,
270400000.000000,-66.30,,,
270533333.000000,-66.23,,,
270666667.000000,-66.30,,,
270800000.000000,-66.38,,,
270933333.000000,-66.17,,,
271066667.000000,-66.40,,,
271200000.000000,-66.39,,,
271333333.000000,-66.43,,,
271466667.000000,-66.30,,,
271600000.000000,-66.25,,,
271733333.000000,-66.28,,,
271866667.000000,-66.29,,,
272000000.000000,-66.21,,,
272133333.000000,-66.17,,,
272266667.000000,-66.30,,,
272400000.000000,-66.45,,,
272533333.000000,-66.25,,,
272666667.000000,-66.18,,,
272800000.000000,-66.28,,,
272933333.000000,-66.09,,,
273066667.000000,-66.06,,,
273200000.000000,-66.17,,,
273333333.000000,-66.15,,,
273466667.000000,-66.10,,,
273600000.000000,-66.13,,,
273733333.000000,-66.16,,,
273866667.000000,-66.30,,,
274000000.000000,-66.17,,,
274133333.000000,-66.04,,,
274266667.000000,-66.07,,,
274400000.000000,-66.17,,,
274533333.000000,-66.18,,,
274666667.000000,-66.04,,,
274800000.000000,-66.08,,,
274933333.000000,-66.09,,,
275066667.000000,-66.18,,,
275200000.000000,-66.02,,,
275333333.000000,-65.88,,,
275466667.000000,-66.06,,,
275600000.000000,-66.01,,,
275733333.000000,-65.98,,,
275866667.000000,-65.98,,,
276000000.000000,-65.93,,,
276133333.000000,-65.93,,,
276266667.000000,-65.85,,,
276400000.000000,-65.76,,,
276533333.000000,-65.90,,,
276666667.000000,-65.79,,,
276800000.000000,-65.79,,,
276933333.000000,-65.77,,,
277066667.000000,-65.65,,,
277200000.000000,-65.64,,,
277333333.000000,-65.63,,,
277466667.000000,-65.63,,,
277600000.000000,-65.57,,,
277733333.000000,-65.42,,,
277866667.000000,-65.39,,,
278000000.000000,-65.33,,,
278133333.000000,-65.29,,,
278266667.000000,-65.20,,,
278400000.000000,-65.21,,,
278533333.000000,-65.25,,,
278666667.000000,-65.15,,,
278800000.000000,-65.00,,,
278933333.000000,-65.03,,,
279066667.000000,-64.86,,,
279200000.000000,-64.88,,,
279333333.000000,-65.05,,,
279466667.000000,-64.63,,,
279600000.000000,-64.70,,,
279733333.000000,-64.59,,,
279866667.000000,-64.67,,,
280000000.000000,-64.55,,,
280133333.000000,-64.40,,,
280266667.000000,-64.23,,,
280400000.000000,-64.34,,,
280533333.000000,-64.23,,,
280666667.000000,-64.18,,,
280800000.000000,-64.09,,,
280933333.000000,-63.91,,,
281066667.000000,-63.94,,,
281200000.000000,-63.95,,,
281333333.000000,-63.75,,,
281466667.000000,-63.73,,,
281600000.000000,-63.63,,,
281733333.000000,-63.69,,,
281866667.000000,-63.36,,,
282000000.000000,-63.37,,,
282133333.000000,-63.33,,,
282266667.000000,-63.31,,,
282400000.000000,-63.19,,,
282533333.000000,-63.09,,,
282666667.000000,-63.05,,,
282800000.000000,-63.00,,,
282933333.000000,-62.88,,,
283066667.000000,-62.80,,,
283200000.000000,-62.80,,,
283333333.000000,-62.57,,,
283466667.000000,-62.54,,,
283600000.000000,-62.49,,,
283733333.000000,-62.44,,,
283866667.000000,-62.47,,,
284000000.000000,-62.26,,,
284133333.000000,-62.19,,,
284266667.000000,-61.95,,,
284400000.000000,-61.94,,,
284533333.000000,-61.88,,,
284666667.000000,-61.96,,,
284800000.000000,-61.94,,,
284933333.000000,-61.71,,,
285066667.000000,-61.72,,,
285200000.000000,-61.60,,,
285333333.000000,-61.48,,,
285466667.000000,-61.37,,,
285600000.000000,-61.31,,,
285733333.000000,-61.28,,,
285866667.000000,-61.23,,,
286000000.000000,-61.11,,,
286133333.000000,-60.93,,,
286266667.000000,-60.91,,,
286400000.000000,-60.78,,,
286533333.000000,-60.69,,,
286666667.000000,-60.61,,,
286800000.000000,-60.54,,,
286933333.000000,-60.48,,,
287066667.000000,-60.39,,,
287200000.000000,-60.27,,,
287333333.000000,-60.21,,,
287466667.000000,-60.17,,,
287600000.000000,-60.04,,,
287733333.000000,-60.00,,,
287866667.000000,-59.79,,,
288000000.000000,-59.73,,,
288133333.000000,-59.62,,,
288266667.000000,-59.49,,,
288400000.000000,-59.48,,,
288533333.000000,-59.34,,,
288666667.000000,-59.32,,,
288800000.000000,-59.20,,,
288933333.000000,-59.06,,,
289066667.000000,-58.99,,,
289200000.000000,-58.86,,,
289333333.000000,-58.72,,,
289466667.000000,-58.69,,,
289600000.000000,-58.64,,,
289733333.000000,-58.52,,,
289866667.000000,-58.39,,,
290000000.000000,-58.24,,,
290133333.000000,-58.19,,,
290266667.000000,-58.11,,,
290400000.000000,-57.93,,,
290533333.000000,-57.86,,,
290666667.000000,-57.76,,,
290800000.000000,-57.62,,,
290933333.000000,-57.57,,,
291066667.000000,-57.53,,,
291200000.000000,-57.41,,,
291333333.000000,-57.32,,,
291466667.000000,-57.23,,,
291600000.000000,-57.06,,,
291733333.000000,-56.99,,,
291866667.000000,-56.87,,,
292000000.000000,-56.81,,,
292133333.000000,-56.71,,,
292266667.000000,-56.65,,,
292400000.000000,-56.56,,,
292533333.000000,-56.51,,,
292666667.000000,-56.38,,,
292800000.000000,-56.26,,,
292933333.000000,-56.09,,,
293066667.000000,-56.00,,,
293200000.000000,-56.01,,,
293333333.000000,-55.90,,,
293466667.000000,-55.80,,,
293600000.000000,-55.75,,,
293733333.000000,-55.64,,,
293866667.000000,-55.55,,,
294000000.000000,-55.54,,,
294133333.000000,-55.34,,,
294266667.000000,-55.25,,,
294400000.000000,-55.15,,,
294533333.000000,-55.02,,,
294666667.000000,-55.04,,,
294800000.000000,-54.89,,,
294933333.000000,-54.83,,,
295066667.000000,-54.79,,,
295200000.000000,-54.69,,,
295333333.000000,-54.56,,,
295466667.000000,-54.42,,,
295600000.000000,-54.35,,,
295733333.000000,-54.33,,,
295866667.000000,-54.19,,,
296000000.000000,-54.16,,,
296133333.000000,-54.03,,,
296266667.000000,-54.03,,,
296400000.000000,-53.90,,,
296533333.000000,-53.84,,,
296666667.000000,-53.76,,,
296800000.000000,-53.61,,,
296933333.000000,-53.59,,,
297066667.000000,-53.49,,,
297200000.000000,-53.38,,,
297333333.000000,-53.35,,,
297466667.000000,-53.28,,,
297600000.000000,-53.23,,,
297733333.000000,-53.10,,,
297866667.000000,-53.02,,,
298000000.000000,-52.91,,,
298133333.000000,-52.87,,,
298266667.000000,-52.80,,,
298400000.000000,-52.72,,,
298533333.000000,-52.66,,,
298666667.000000,-52.58,,,
298800000.000000,-52.54,,,
