band,frequency_mhz,liquids,between_liquid_std,between_liquid_range
180-220MHz,180.0,8,0.4813729989739251,1.2127198057661872
180-220MHz,180.133333,8,0.4908845112742089,1.2363567110569729
180-220MHz,180.266667,8,0.5005693568186332,1.2603157239727152
180-220MHz,180.4,8,0.510694352047445,1.2846997470490644
180-220MHz,180.533333,8,0.5209463461154865,1.3099774189473872
180-220MHz,180.666667,8,0.5318140881018072,1.3377313539903697
180-220MHz,180.8,8,0.5429575462390163,1.3656717388103945
180-220MHz,180.933333,8,0.5539180050971987,1.3926503855450185
180-220MHz,181.066667,8,0.5654965710721431,1.4211092204096545
180-220MHz,181.2,8,0.5772602460315491,1.4490326740536676
180-220MHz,181.333333,8,0.5890580954711155,1.4778106802761206
180-220MHz,181.466667,8,0.6010462363652337,1.5071900859496101
180-220MHz,181.6,8,0.6136325511252748,1.5377961803464573
180-220MHz,181.733333,8,0.6261200233906365,1.569350746784857
180-220MHz,181.866667,8,0.6394414756076097,1.6033594955995472
180-220MHz,182.0,8,0.6531335859987298,1.6376620203532277
180-220MHz,182.133333,8,0.6666987490935744,1.6712088073795504
180-220MHz,182.266667,8,0.6809339747514499,1.7071904836416634
180-220MHz,182.4,8,0.6957219684170061,1.7441707440101313
180-220MHz,182.533333,8,0.7105948466368881,1.7809618725805074
180-220MHz,182.666667,8,0.725341489189736,1.8167929373899228
180-220MHz,182.8,8,0.7403380698810886,1.853817852614742
180-220MHz,182.933333,8,0.7557580465035652,1.892284551189659
180-220MHz,183.066667,8,0.7714780062806098,1.9304835087249483
180-220MHz,183.2,8,0.7872550395631217,1.9706821357055035
180-220MHz,183.333333,8,0.8030982690268303,2.0103426722553666
180-220MHz,183.466667,8,0.8185354027335322,2.0479241537230553
180-220MHz,183.6,8,0.834125384282795,2.0856778451840263
180-220MHz,183.733333,8,0.8496088554813618,2.1231473742667406
180-220MHz,183.866667,8,0.8648336900127949,2.1598383812450868
180-220MHz,184.0,8,0.879910796773514,2.197289566470286
180-220MHz,184.133333,8,0.8946749911651775,2.232964506978759
180-220MHz,184.266667,8,0.9089411525092911,2.267370814083913
180-220MHz,184.4,8,0.9228675035417407,2.3018315938852267
180-220MHz,184.533333,8,0.9365796646949055,2.3341342839114607
180-220MHz,184.666667,8,0.9493612255527181,2.3635860210535977
180-220MHz,184.8,8,0.9617986991506206,2.391992279726845
180-220MHz,184.933333,8,0.9737050134594103,2.4187054729623942
180-220MHz,185.066667,8,0.9848544340001263,2.443267791962886
180-220MHz,185.2,8,0.9948270957071352,2.4638452048735506
180-220MHz,185.333333,8,1.0036073473132272,2.4814149781912462
180-220MHz,185.466667,8,1.0116688878103017,2.496838260387805
180-220MHz,185.6,8,1.0192249666304651,2.510504116010336
180-220MHz,185.733333,8,1.0255316755769999,2.520110414426359
180-220MHz,185.866667,8,1.0307434309467702,2.527827595245613
180-220MHz,186.0,8,1.035262886084199,2.532094510352482
