,feature_name,range,frequency_mhz
0,150-250__150.000000MHz,150-250,150.0
1,150-250__150.133333MHz,150-250,150.133333
2,150-250__150.266667MHz,150-250,150.266667
3,150-250__150.400000MHz,150-250,150.4
4,150-250__150.533333MHz,150-250,150.533333
5,150-250__150.666667MHz,150-250,150.666667
6,150-250__150.800000MHz,150-250,150.8
7,150-250__150.933333MHz,150-250,150.933333
8,150-250__151.066667MHz,150-250,151.066667
9,150-250__151.200000MHz,150-250,151.2
10,150-250__151.333333MHz,150-250,151.333333
11,150-250__151.466667MHz,150-250,151.466667
12,150-250__151.600000MHz,150-250,151.6
13,150-250__151.733333MHz,150-250,151.733333
14,150-250__151.866667MHz,150-250,151.866667
15,150-250__152.000000MHz,150-250,152.0
16,150-250__152.133333MHz,150-250,152.133333
17,150-250__152.266667MHz,150-250,152.266667
18,150-250__152.400000MHz,150-250,152.4
19,150-250__152.533333MHz,150-250,152.533333
20,150-250__152.666667MHz,150-250,152.666667
21,150-250__152.800000MHz,150-250,152.8
22,150-250__152.933333MHz,150-250,152.933333
23,150-250__153.066667MHz,150-250,153.066667
24,150-250__153.200000MHz,150-250,153.2
25,150-250__153.333333MHz,150-250,153.333333
26,150-250__153.466667MHz,150-250,153.466667
27,150-250__153.600000MHz,150-250,153.6
28,150-250__153.733333MHz,150-250,153.733333
29,150-250__153.866667MHz,150-250,153.866667
30,150-250__154.000000MHz,150-250,154.0
31,150-250__154.133333MHz,150-250,154.133333
32,150-250__154.266667MHz,150-250,154.266667
33,150-250__154.400000MHz,150-250,154.4
34,150-250__154.533333MHz,150-250,154.533333
35,150-250__154.666667MHz,150-250,154.666667
36,150-250__154.800000MHz,150-250,154.8
37,150-250__154.933333MHz,150-250,154.933333
38,150-250__155.066667MHz,150-250,155.066667
39,150-250__155.200000MHz,150-250,155.2
40,150-250__155.333333MHz,150-250,155.333333
41,150-250__155.466667MHz,150-250,155.466667
42,150-250__155.600000MHz,150-250,155.6
43,150-250__155.733333MHz,150-250,155.733333
44,150-250__155.866667MHz,150-250,155.866667
45,150-250__156.000000MHz,150-250,156.0
46,150-250__156.133333MHz,150-250,156.133333
47,150-250__156.266667MHz,150-250,156.266667
48,150-250__156.400000MHz,150-250,156.4
49,150-250__156.533333MHz,150-250,156.533333
50,150-250__156.666667MHz,150-250,156.666667
51,150-250__156.800000MHz,150-250,156.8
52,150-250__156.933333MHz,150-250,156.933333
53,150-250__157.066667MHz,150-250,157.066667
54,150-250__157.200000MHz,150-250,157.2
55,150-250__157.333333MHz,150-250,157.333333
56,150-250__157.466667MHz,150-250,157.466667
57,150-250__157.600000MHz,150-250,157.6
58,150-250__157.733333MHz,150-250,157.733333
59,150-250__157.866667MHz,150-250,157.866667
60,150-250__158.000000MHz,150-250,158.0
61,150-250__158.133333MHz,150-250,158.133333
62,150-250__158.266667MHz,150-250,158.266667
63,150-250__158.400000MHz,150-250,158.4
64,150-250__158.533333MHz,150-250,158.533333
65,150-250__158.666667MHz,150-250,158.666667
66,150-250__158.800000MHz,150-250,158.8
67,150-250__158.933333MHz,150-250,158.933333
68,150-250__159.066667MHz,150-250,159.066667
69,150-250__159.200000MHz,150-250,159.2
70,150-250__159.333333MHz,150-250,159.333333
71,150-250__159.466667MHz,150-250,159.466667
72,150-250__159.600000MHz,150-250,159.6
73,150-250__159.733333MHz,150-250,159.733333
74,150-250__159.866667MHz,150-250,159.866667
75,150-250__160.000000MHz,150-250,160.0
76,150-250__160.133333MHz,150-250,160.133333
77,150-250__160.266667MHz,150-250,160.266667
78,150-250__160.400000MHz,150-250,160.4
79,150-250__160.533333MHz,150-250,160.533333
80,150-250__160.666667MHz,150-250,160.666667
81,150-250__160.800000MHz,150-250,160.8
82,150-250__160.933333MHz,150-250,160.933333
83,150-250__161.066667MHz,150-250,161.066667
84,150-250__161.200000MHz,150-250,161.2
85,150-250__161.333333MHz,150-250,161.333333
86,150-250__161.466667MHz,150-250,161.466667
87,150-250__161.600000MHz,150-250,161.6
88,150-250__161.733333MHz,150-250,161.733333
89,150-250__161.866667MHz,150-250,161.866667
90,150-250__162.000000MHz,150-250,162.0
91,150-250__162.133333MHz,150-250,162.133333
92,150-250__162.266667MHz,150-250,162.266667
93,150-250__162.400000MHz,150-250,162.4
94,150-250__162.533333MHz,150-250,162.533333
95,150-250__162.666667MHz,150-250,162.666667
96,150-250__162.800000MHz,150-250,162.8
97,150-250__162.933333MHz,150-250,162.933333
98,150-250__163.066667MHz,150-250,163.066667
99,150-250__163.200000MHz,150-250,163.2
100,150-250__163.333333MHz,150-250,163.333333
101,150-250__163.466667MHz,150-250,163.466667
102,150-250__163.600000MHz,150-250,163.6
103,150-250__163.733333MHz,150-250,163.733333
104,150-250__163.866667MHz,150-250,163.866667
105,150-250__164.000000MHz,150-250,164.0
106,150-250__164.133333MHz,150-250,164.133333
107,150-250__164.266667MHz,150-250,164.266667
108,150-250__164.400000MHz,150-250,164.4
109,150-250__164.533333MHz,150-250,164.533333
110,150-250__164.666667MHz,150-250,164.666667
111,150-250__164.800000MHz,150-250,164.8
112,150-250__164.933333MHz,150-250,164.933333
113,150-250__165.066667MHz,150-250,165.066667
114,150-250__165.200000MHz,150-250,165.2
115,150-250__165.333333MHz,150-250,165.333333
116,150-250__165.466667MHz,150-250,165.466667
117,150-250__165.600000MHz,150-250,165.6
118,150-250__165.733333MHz,150-250,165.733333
119,150-250__165.866667MHz,150-250,165.866667
120,150-250__166.000000MHz,150-250,166.0
121,150-250__166.133333MHz,150-250,166.133333
122,150-250__166.266667MHz,150-250,166.266667
123,150-250__166.400000MHz,150-250,166.4
124,150-250__166.533333MHz,150-250,166.533333
125,150-250__166.666667MHz,150-250,166.666667
126,150-250__166.800000MHz,150-250,166.8
