,feature_a,feature_b,range_a,range_b,frequency_a_mhz,frequency_b_mhz,distance_mhz,correlation,abs_correlation
0,350__294.133333MHz,350__337.733333MHz,350,350,294.133333,337.733333,43.60000000000002,-0.9999734460508717,0.9999734460508717
1,350__293.600000MHz,350__336.800000MHz,350,350,293.6,336.8,43.19999999999999,-0.9999683130257067,0.9999683130257067
2,350__294.000000MHz,350__337.733333MHz,350,350,294.0,337.733333,43.733333000000016,-0.9999680837194301,0.9999680837194301
3,350__294.266667MHz,350__337.733333MHz,350,350,294.266667,337.733333,43.46666600000003,-0.9999664116661441,0.9999664116661441
4,350__294.000000MHz,350__337.600000MHz,350,350,294.0,337.6,43.60000000000002,-0.9999653526191333,0.9999653526191333
5,350__293.733333MHz,350__337.200000MHz,350,350,293.733333,337.2,43.46666699999997,-0.9999650131620553,0.9999650131620553
6,350__293.733333MHz,350__336.800000MHz,350,350,293.733333,336.8,43.066666999999995,-0.9999644155251656,0.9999644155251656
7,350__293.466667MHz,350__336.533333MHz,350,350,293.466667,336.533333,43.066666000000055,-0.9999630952699748,0.9999630952699748
8,350__293.866667MHz,350__337.200000MHz,350,350,293.866667,337.2,43.33333299999998,-0.9999622623370055,0.9999622623370055
9,350__293.866667MHz,350__337.333333MHz,350,350,293.866667,337.333333,43.466665999999975,-0.9999617432347144,0.9999617432347144
10,350__293.600000MHz,350__336.666667MHz,350,350,293.6,336.666667,43.066666999999995,-0.999961638668141,0.999961638668141
11,350__294.133333MHz,350__337.600000MHz,350,350,294.133333,337.6,43.46666700000003,-0.9999612453356369,0.9999612453356369
12,350__293.733333MHz,350__337.066667MHz,350,350,293.733333,337.066667,43.33333399999998,-0.9999612162934802,0.9999612162934802
13,350__294.000000MHz,350__337.466667MHz,350,350,294.0,337.466667,43.46666699999997,-0.9999609342541395,0.9999609342541395
14,350__293.466667MHz,350__336.666667MHz,350,350,293.466667,336.666667,43.200000000000045,-0.9999598570513604,0.9999598570513604
15,350__293.466667MHz,350__336.400000MHz,350,350,293.466667,336.4,42.933333000000005,-0.999959545745373,0.999959545745373
16,350__293.466667MHz,350__336.800000MHz,350,350,293.466667,336.8,43.33333300000004,-0.9999590678245878,0.9999590678245878
17,350__293.600000MHz,350__336.533333MHz,350,350,293.6,336.533333,42.933333000000005,-0.9999580521691797,0.9999580521691797
18,350__294.000000MHz,350__337.333333MHz,350,350,294.0,337.333333,43.33333299999998,-0.9999575176561369,0.9999575176561369
19,350__293.733333MHz,350__337.333333MHz,350,350,293.733333,337.333333,43.599999999999966,-0.9999559478216952,0.9999559478216952
20,350__293.733333MHz,350__336.933333MHz,350,350,293.733333,336.933333,43.19999999999999,-0.9999558518781585,0.9999558518781585
21,350__293.866667MHz,350__337.466667MHz,350,350,293.866667,337.466667,43.599999999999966,-0.9999541909841144,0.9999541909841144
22,350__293.866667MHz,350__337.066667MHz,350,350,293.866667,337.066667,43.19999999999999,-0.999953943413566,0.999953943413566
23,350__293.600000MHz,350__337.066667MHz,350,350,293.6,337.066667,43.46666699999997,-0.9999539268216154,0.9999539268216154
24,350__293.866667MHz,350__337.600000MHz,350,350,293.866667,337.6,43.733333000000016,-0.9999538917678282,0.9999538917678282
25,350__294.133333MHz,350__337.466667MHz,350,350,294.133333,337.466667,43.33333399999998,-0.9999536948539861,0.9999536948539861
26,350__293.600000MHz,350__337.200000MHz,350,350,293.6,337.2,43.599999999999966,-0.9999531408209374,0.9999531408209374
27,350__294.400000MHz,350__337.733333MHz,350,350,294.4,337.733333,43.33333300000004,-0.9999529189339108,0.9999529189339108
28,350__293.333333MHz,350__336.533333MHz,350,350,293.333333,336.533333,43.200000000000045,-0.9999526590911153,0.9999526590911153
29,350__293.600000MHz,350__336.933333MHz,350,350,293.6,336.933333,43.33333299999998,-0.999952383141899,0.999952383141899
30,350__293.333333MHz,350__336.400000MHz,350,350,293.333333,336.4,43.066666999999995,-0.9999522445931547,0.9999522445931547
31,350__293.600000MHz,350__336.400000MHz,350,350,293.6,336.4,42.799999999999955,-0.9999520438105339,0.9999520438105339
32,350__293.733333MHz,350__336.666667MHz,350,350,293.733333,336.666667,42.933334,-0.9999518292242534,0.9999518292242534
33,350__294.133333MHz,350__337.866667MHz,350,350,294.133333,337.866667,43.73333400000001,-0.9999500507597141,0.9999500507597141
34,350__293.866667MHz,350__337.733333MHz,350,350,293.866667,337.733333,43.86666600000001,-0.9999484023073767,0.9999484023073767
35,350__293.866667MHz,350__336.800000MHz,350,350,293.866667,336.8,42.933333000000005,-0.9999475201591124,0.9999475201591124
36,350__294.266667MHz,350__337.600000MHz,350,350,294.266667,337.6,43.33333300000004,-0.9999469293866943,0.9999469293866943
37,350__294.266667MHz,350__338.133333MHz,350,350,294.266667,338.133333,43.86666600000001,-0.9999460845230567,0.9999460845230567
38,350__294.266667MHz,350__337.866667MHz,350,350,294.266667,337.866667,43.60000000000002,-0.9999459476068912,0.9999459476068912
39,350__293.866667MHz,350__336.933333MHz,350,350,293.866667,336.933333,43.066666,-0.999945627793122,0.999945627793122
40,350__294.000000MHz,350__337.200000MHz,350,350,294.0,337.2,43.19999999999999,-0.9999453829673379,0.9999453829673379
41,350__294.133333MHz,350__338.000000MHz,350,350,294.133333,338.0,43.86666700000001,-0.9999452129326889,0.9999452129326889
42,350__294.133333MHz,350__338.133333MHz,350,350,294.133333,338.133333,44.0,-0.9999448187149388,0.9999448187149388
43,350__293.466667MHz,350__336.266667MHz,350,350,293.466667,336.266667,42.80000000000001,-0.9999441198280811,0.9999441198280811
44,350__294.266667MHz,350__338.000000MHz,350,350,294.266667,338.0,43.733333000000016,-0.999943910848559,0.999943910848559
45,350__294.266667MHz,350__338.400000MHz,350,350,294.266667,338.4,44.13333299999999,-0.9999434615020097,0.9999434615020097
46,350__293.333333MHz,350__336.266667MHz,350,350,293.333333,336.266667,42.933334,-0.9999426800400265,0.9999426800400265
47,350__293.333333MHz,350__336.666667MHz,350,350,293.333333,336.666667,43.333334000000036,-0.9999419169437778,0.9999419169437778
48,350__294.000000MHz,350__337.866667MHz,350,350,294.0,337.866667,43.86666700000001,-0.999941804775684,0.999941804775684
49,350__294.133333MHz,350__338.400000MHz,350,350,294.133333,338.4,44.266666999999984,-0.9999416142293897,0.9999416142293897
50,350__293.733333MHz,350__336.533333MHz,350,350,293.733333,336.533333,42.80000000000001,-0.9999412326113853,0.9999412326113853
51,350__294.133333MHz,350__337.333333MHz,350,350,294.133333,337.333333,43.19999999999999,-0.9999411288591931,0.9999411288591931
52,350__294.266667MHz,350__338.266667MHz,350,350,294.266667,338.266667,44.0,-0.9999405018626409,0.9999405018626409
53,350__294.400000MHz,350__338.133333MHz,350,350,294.4,338.133333,43.733333000000016,-0.9999400538286136,0.9999400538286136
54,350__294.133333MHz,350__338.266667MHz,350,350,294.133333,338.266667,44.13333399999999,-0.9999397643794131,0.9999397643794131
55,350__293.733333MHz,350__337.466667MHz,350,350,293.733333,337.466667,43.73333399999996,-0.9999394897933309,0.9999394897933309
56,350__294.000000MHz,350__338.000000MHz,350,350,294.0,338.0,44.0,-0.9999373302728407,0.9999373302728407
57,350__294.400000MHz,350__338.400000MHz,350,350,294.4,338.4,44.0,-0.9999369895953655,0.9999369895953655
58,350__294.266667MHz,350__337.466667MHz,350,350,294.266667,337.466667,43.19999999999999,-0.9999359527027961,0.9999359527027961
59,350__293.733333MHz,350__337.600000MHz,350,350,293.733333,337.6,43.86666700000001,-0.9999355482938749,0.9999355482938749
60,350__293.600000MHz,350__337.333333MHz,350,350,293.6,337.333333,43.73333299999996,-0.9999354786835938,0.9999354786835938
61,350__294.266667MHz,350__338.533333MHz,350,350,294.266667,338.533333,44.26666600000004,-0.999935272197326,0.999935272197326
62,350__294.400000MHz,350__337.866667MHz,350,350,294.4,337.866667,43.46666700000003,-0.9999349462595992,0.9999349462595992
63,350__293.466667MHz,350__336.933333MHz,350,350,293.466667,336.933333,43.46666600000003,-0.9999349246898837,0.9999349246898837
64,350__294.400000MHz,350__338.000000MHz,350,350,294.4,338.0,43.60000000000002,-0.9999347226319938,0.9999347226319938
65,350__293.733333MHz,350__336.400000MHz,350,350,293.733333,336.4,42.66666699999996,-0.9999340820561228,0.9999340820561228
66,350__294.000000MHz,350__338.133333MHz,350,350,294.0,338.133333,44.13333299999999,-0.9999337764528121,0.9999337764528121
67,350__294.400000MHz,350__338.266667MHz,350,350,294.4,338.266667,43.86666700000001,-0.999933129712525,0.999933129712525
68,350__293.466667MHz,350__337.066667MHz,350,350,293.466667,337.066667,43.60000000000002,-0.9999330829369403,0.9999330829369403
69,350__294.000000MHz,350__337.066667MHz,350,350,294.0,337.066667,43.066666999999995,-0.9999322894735622,0.9999322894735622
70,350__293.333333MHz,350__336.800000MHz,350,350,293.333333,336.8,43.46666700000003,-0.9999321944532317,0.9999321944532317
71,350__293.600000MHz,350__336.266667MHz,350,350,293.6,336.266667,42.66666699999996,-0.9999321505450267,0.9999321505450267
72,350__294.266667MHz,350__338.666667MHz,350,350,294.266667,338.666667,44.400000000000034,-0.9999318304648334,0.9999318304648334
73,350__294.400000MHz,350__338.533333MHz,350,350,294.4,338.533333,44.13333300000005,-0.999931800486096,0.999931800486096
74,350__294.133333MHz,350__338.533333MHz,350,350,294.133333,338.533333,44.400000000000034,-0.9999312492726633,0.9999312492726633
75,350__294.000000MHz,350__338.400000MHz,350,350,294.0,338.4,44.39999999999998,-0.9999303187366191,0.9999303187366191
76,350__294.000000MHz,350__338.266667MHz,350,350,294.0,338.266667,44.266666999999984,-0.9999302846922249,0.9999302846922249
77,350__293.866667MHz,350__336.666667MHz,350,350,293.866667,336.666667,42.80000000000001,-0.999929192735934,0.999929192735934
78,350__294.133333MHz,350__338.666667MHz,350,350,294.133333,338.666667,44.533334000000025,-0.9999284039900771,0.9999284039900771
79,350__294.533333MHz,350__337.733333MHz,350,350,294.533333,337.733333,43.19999999999999,-0.9999279252509163,0.9999279252509163
80,350__294.400000MHz,350__338.666667MHz,350,350,294.4,338.666667,44.26666700000004,-0.9999276397171819,0.9999276397171819
81,350__293.200000MHz,350__336.266667MHz,350,350,293.2,336.266667,43.066666999999995,-0.999927167158897,0.999927167158897
82,350__293.466667MHz,350__337.200000MHz,350,350,293.466667,337.2,43.733333000000016,-0.9999271043547959,0.9999271043547959
83,350__293.200000MHz,350__336.400000MHz,350,350,293.2,336.4,43.19999999999999,-0.999927064184456,0.999927064184456
84,350__294.400000MHz,350__337.600000MHz,350,350,294.4,337.6,43.200000000000045,-0.9999248226799644,0.9999248226799644
85,350__294.533333MHz,350__338.133333MHz,350,350,294.533333,338.133333,43.599999999999966,-0.9999246127613646,0.9999246127613646
86,350__293.200000MHz,350__336.533333MHz,350,350,293.2,336.533333,43.33333300000004,-0.9999227585604398,0.9999227585604398
87,350__294.000000MHz,350__336.933333MHz,350,350,294.0,336.933333,42.933333000000005,-0.9999222387814981,0.9999222387814981
88,350__293.733333MHz,350__337.733333MHz,350,350,293.733333,337.733333,44.0,-0.9999221154162675,0.9999221154162675
89,350__294.533333MHz,350__338.400000MHz,350,350,294.533333,338.4,43.86666699999995,-0.9999221052453088,0.9999221052453088
90,350__294.133333MHz,350__337.200000MHz,350,350,294.133333,337.2,43.066666999999995,-0.9999220224924494,0.9999220224924494
91,350__294.533333MHz,350__338.533333MHz,350,350,294.533333,338.533333,44.0,-0.999919377736207,0.999919377736207
92,350__293.333333MHz,350__336.133333MHz,350,350,293.333333,336.133333,42.80000000000001,-0.999919241462002,0.999919241462002
93,350__294.533333MHz,350__338.266667MHz,350,350,294.533333,338.266667,43.73333399999996,-0.9999172261930954,0.9999172261930954
94,350__294.533333MHz,350__338.000000MHz,350,350,294.533333,338.0,43.46666699999997,-0.9999165214350575,0.9999165214350575
