,selection_priority,feature_name,range,frequency_mhz,feature_std
0,44,150-250__164.400000MHz,150-250,164.4,0.28292471952238474
1,50,150-250__165.333333MHz,150-250,165.333333,0.23340370135878474
2,56,150-250__166.266667MHz,150-250,166.266667,0.18483212668154247
3,62,150-250__166.933333MHz,150-250,166.933333,0.1583157412587578
4,68,150-250__167.600000MHz,150-250,167.6,0.13565890227953054
5,74,150-250__168.266667MHz,150-250,168.266667,0.11537932260436734
6,85,150-250__169.200000MHz,150-250,169.2,0.0953931221286088
7,98,150-250__170.800000MHz,150-250,170.8,0.05737569175237068
8,102,150-250__171.200000MHz,150-250,171.2,0.047439800713186486
9,103,150-250__171.466667MHz,150-250,171.466667,0.04439657626778871
10,104,150-250__171.733333MHz,150-250,171.733333,0.04435420572071645
11,101,150-250__172.000000MHz,150-250,172.0,0.0485599597908438
12,99,150-250__172.266667MHz,150-250,172.266667,0.05443652609754656
13,94,150-250__172.666667MHz,150-250,172.666667,0.0663061992678917
14,87,150-250__173.200000MHz,150-250,173.2,0.08877966818951506
15,59,150-250__174.800000MHz,150-250,174.8,0.17408406993264702
16,6,150-250__188.533333MHz,150-250,188.533333,0.9666505651785264
17,9,150-250__190.133333MHz,150-250,190.133333,0.8182367772083905
18,20,150-250__192.000000MHz,150-250,192.0,0.5703371212263554
19,36,150-250__193.466667MHz,150-250,193.466667,0.3316569667652128
20,51,150-250__194.133333MHz,150-250,194.133333,0.22326981305020405
21,60,150-250__194.533333MHz,150-250,194.533333,0.16638720572425594
22,66,150-250__194.800000MHz,150-250,194.8,0.1373657200965973
23,73,150-250__195.066667MHz,150-250,195.066667,0.11959999515946511
24,70,150-250__195.466667MHz,150-250,195.466667,0.12349516846107784
25,64,150-250__195.733333MHz,150-250,195.733333,0.14170981267469654
26,58,150-250__196.133333MHz,150-250,196.133333,0.17825835194431425
27,38,150-250__203.066667MHz,150-250,203.066667,0.32476651864450673
28,35,150-250__204.266667MHz,150-250,204.266667,0.33559458254767904
29,32,150-250__205.466667MHz,150-250,205.466667,0.35657119641132945
30,19,150-250__210.000000MHz,150-250,210.0,0.577007797100169
31,17,150-250__211.733333MHz,150-250,211.733333,0.6091651715216706
