Machine Module,T3SA3200
Y Axis Scale,LOG
Y Axis Unit,dBm
PreAmp State,OFF
Ref Level,-20.00 dBm
Ref Offset,0.00 dB
Attenuation,0,Manual
X Axis Scale,LINE
Impedance,50
Number of Points,751
Sweep Time(s),0.024000,Auto
Sweep Times Type,Continuous
Sweep Mode,Auto
Sweep Rule,Speed
Start Frequency,150000000
Stop Frequency,250000000
Offset Frequency,0
Average Type,Log Pwr
RBW,1000000.000000,Auto
VBW,1000000.000000,Auto
RBW Filter,Gaussian
Trigger Source,FreeRun
Trigger Level,0.00 dBm
External Trigger Edge,RISE
Video Trigger Edge,RISE
Marker Information
Marker,Trace,Type,X Axis,Amplitude
Peak Table Information
Peak Threshold,-90.00 dBm
Peak Excursion,15.00 dB
Peak,Trace,X Axis,Amplitude
0,1,196.000000 MHz,-51.42 dBm
Trace Math Type,Off
Trace Math Offset, 0
Trace Variable X,Trace A
Trace Variable Y,Trace B
Trace Variable Z,Trace C
Trace Name,Trace A,Trace B,Trace C,Trace D
Trace Type,Average,Blank,Blank,Blank
Trace Detector,Pos Peak,Pos Peak,Pos Peak,Pos Peak
Trace Data
150000000.000000,-70.25,,,
150133333.000000,-70.50,,,
150266667.000000,-70.78,,,
150400000.000000,-70.85,,,
150533333.000000,-70.76,,,
150666667.000000,-70.93,,,
150800000.000000,-71.45,,,
150933333.000000,-71.73,,,
151066667.000000,-71.43,,,
151200000.000000,-72.00,,,
151333333.000000,-71.96,,,
151466667.000000,-72.21,,,
151600000.000000,-72.53,,,
151733333.000000,-72.58,,,
151866667.000000,-72.70,,,
152000000.000000,-72.81,,,
152133333.000000,-73.21,,,
152266667.000000,-73.25,,,
152400000.000000,-73.57,,,
152533333.000000,-73.43,,,
152666667.000000,-74.08,,,
152800000.000000,-73.88,,,
152933333.000000,-73.92,,,
153066667.000000,-74.19,,,
153200000.000000,-74.53,,,
153333333.000000,-74.52,,,
153466667.000000,-74.62,,,
153600000.000000,-74.80,,,
153733333.000000,-74.73,,,
153866667.000000,-74.71,,,
154000000.000000,-75.15,,,
154133333.000000,-75.14,,,
154266667.000000,-74.57,,,
154400000.000000,-75.04,,,
154533333.000000,-75.64,,,
154666667.000000,-75.43,,,
154800000.000000,-75.67,,,
154933333.000000,-75.75,,,
155066667.000000,-75.30,,,
155200000.000000,-75.63,,,
155333333.000000,-75.88,,,
155466667.000000,-75.76,,,
155600000.000000,-75.75,,,
155733333.000000,-76.06,,,
155866667.000000,-75.63,,,
156000000.000000,-75.77,,,
156133333.000000,-76.29,,,
156266667.000000,-76.39,,,
156400000.000000,-75.65,,,
156533333.000000,-75.70,,,
156666667.000000,-75.91,,,
156800000.000000,-76.20,,,
156933333.000000,-76.18,,,
157066667.000000,-76.12,,,
157200000.000000,-75.71,,,
157333333.000000,-76.75,,,
157466667.000000,-76.66,,,
157600000.000000,-76.32,,,
157733333.000000,-76.24,,,
157866667.000000,-76.14,,,
158000000.000000,-76.67,,,
158133333.000000,-76.04,,,
158266667.000000,-76.34,,,
158400000.000000,-76.23,,,
158533333.000000,-76.25,,,
158666667.000000,-76.44,,,
158800000.000000,-76.66,,,
158933333.000000,-76.58,,,
159066667.000000,-76.56,,,
159200000.000000,-75.84,,,
159333333.000000,-76.31,,,
159466667.000000,-76.04,,,
159600000.000000,-76.58,,,
159733333.000000,-76.17,,,
159866667.000000,-76.61,,,
160000000.000000,-76.32,,,
160133333.000000,-76.62,,,
160266667.000000,-76.48,,,
160400000.000000,-76.16,,,
160533333.000000,-75.43,,,
160666667.000000,-76.70,,,
160800000.000000,-76.22,,,
160933333.000000,-76.11,,,
161066667.000000,-76.06,,,
161200000.000000,-76.49,,,
161333333.000000,-76.28,,,
161466667.000000,-76.72,,,
161600000.000000,-76.70,,,
161733333.000000,-75.91,,,
161866667.000000,-75.95,,,
162000000.000000,-75.86,,,
162133333.000000,-76.01,,,
162266667.000000,-75.84,,,
162400000.000000,-75.72,,,
162533333.000000,-76.09,,,
162666667.000000,-75.65,,,
162800000.000000,-75.64,,,
162933333.000000,-75.70,,,
163066667.000000,-75.55,,,
163200000.000000,-75.80,,,
163333333.000000,-75.39,,,
163466667.000000,-75.28,,,
163600000.000000,-76.17,,,
163733333.000000,-75.48,,,
163866667.000000,-75.27,,,
164000000.000000,-75.31,,,
164133333.000000,-74.80,,,
164266667.000000,-75.00,,,
164400000.000000,-74.77,,,
164533333.000000,-74.70,,,
164666667.000000,-74.84,,,
164800000.000000,-74.82,,,
164933333.000000,-74.35,,,
165066667.000000,-74.45,,,
165200000.000000,-74.48,,,
165333333.000000,-74.31,,,
165466667.000000,-74.03,,,
165600000.000000,-74.00,,,
165733333.000000,-74.04,,,
165866667.000000,-73.89,,,
166000000.000000,-73.88,,,
166133333.000000,-74.11,,,
166266667.000000,-73.46,,,
166400000.000000,-73.43,,,
166533333.000000,-73.23,,,
166666667.000000,-73.24,,,
166800000.000000,-72.79,,,
166933333.000000,-73.20,,,
167066667.000000,-72.48,,,
167200000.000000,-72.40,,,
167333333.000000,-72.82,,,
167466667.000000,-72.48,,,
167600000.000000,-72.28,,,
167733333.000000,-71.97,,,
167866667.000000,-71.90,,,
168000000.000000,-71.54,,,
168133333.000000,-71.48,,,
168266667.000000,-71.36,,,
168400000.000000,-71.26,,,
168533333.000000,-71.30,,,
168666667.000000,-71.05,,,
168800000.000000,-70.60,,,
168933333.000000,-70.74,,,
169066667.000000,-70.66,,,
169200000.000000,-70.48,,,
169333333.000000,-70.32,,,
169466667.000000,-70.33,,,
169600000.000000,-69.96,,,
169733333.000000,-69.52,,,
169866667.000000,-69.43,,,
170000000.000000,-69.31,,,
170133333.000000,-69.31,,,
170266667.000000,-69.06,,,
170400000.000000,-68.77,,,
170533333.000000,-68.96,,,
170666667.000000,-68.56,,,
170800000.000000,-68.17,,,
170933333.000000,-68.21,,,
171066667.000000,-67.90,,,
171200000.000000,-67.79,,,
171333333.000000,-67.70,,,
171466667.000000,-67.56,,,
171600000.000000,-67.29,,,
171733333.000000,-67.03,,,
171866667.000000,-66.77,,,
172000000.000000,-66.55,,,
172133333.000000,-66.67,,,
172266667.000000,-66.27,,,
172400000.000000,-66.25,,,
172533333.000000,-65.93,,,
172666667.000000,-65.64,,,
172800000.000000,-65.55,,,
172933333.000000,-65.42,,,
173066667.000000,-65.19,,,
173200000.000000,-65.11,,,
173333333.000000,-64.96,,,
173466667.000000,-64.86,,,
173600000.000000,-64.55,,,
173733333.000000,-64.51,,,
173866667.000000,-64.25,,,
174000000.000000,-64.16,,,
174133333.000000,-63.78,,,
174266667.000000,-63.81,,,
174400000.000000,-63.47,,,
174533333.000000,-63.44,,,
174666667.000000,-63.22,,,
174800000.000000,-63.11,,,
174933333.000000,-62.94,,,
175066667.000000,-62.78,,,
175200000.000000,-62.55,,,
175333333.000000,-62.47,,,
175466667.000000,-62.34,,,
175600000.000000,-62.15,,,
175733333.000000,-61.97,,,
175866667.000000,-61.89,,,
176000000.000000,-61.78,,,
176133333.000000,-61.55,,,
176266667.000000,-61.46,,,
176400000.000000,-61.31,,,
176533333.000000,-61.26,,,
176666667.000000,-61.06,,,
176800000.000000,-60.89,,,
176933333.000000,-60.87,,,
177066667.000000,-60.88,,,
177200000.000000,-60.68,,,
177333333.000000,-60.60,,,
177466667.000000,-60.62,,,
177600000.000000,-60.39,,,
177733333.000000,-60.33,,,
177866667.000000,-60.24,,,
178000000.000000,-60.21,,,
178133333.000000,-60.15,,,
178266667.000000,-60.02,,,
178400000.000000,-60.04,,,
178533333.000000,-59.91,,,
178666667.000000,-59.86,,,
178800000.000000,-59.87,,,
178933333.000000,-59.84,,,
179066667.000000,-59.66,,,
179200000.000000,-59.61,,,
179333333.000000,-59.61,,,
179466667.000000,-59.57,,,
179600000.000000,-59.66,,,
179733333.000000,-59.59,,,
179866667.000000,-59.51,,,
180000000.000000,-59.46,,,
180133333.000000,-59.50,,,
180266667.000000,-59.50,,,
180400000.000000,-59.46,,,
180533333.000000,-59.45,,,
180666667.000000,-59.41,,,
180800000.000000,-59.46,,,
180933333.000000,-59.51,,,
181066667.000000,-59.48,,,
181200000.000000,-59.54,,,
181333333.000000,-59.46,,,
181466667.000000,-59.49,,,
181600000.000000,-59.52,,,
181733333.000000,-59.47,,,
181866667.000000,-59.47,,,
182000000.000000,-59.58,,,
182133333.000000,-59.54,,,
182266667.000000,-59.54,,,
182400000.000000,-59.65,,,
182533333.000000,-59.58,,,
182666667.000000,-59.60,,,
182800000.000000,-59.61,,,
182933333.000000,-59.52,,,
183066667.000000,-59.67,,,
183200000.000000,-59.69,,,
183333333.000000,-59.72,,,
183466667.000000,-59.68,,,
183600000.000000,-59.71,,,
183733333.000000,-59.74,,,
183866667.000000,-59.69,,,
184000000.000000,-59.71,,,
184133333.000000,-59.67,,,
184266667.000000,-59.65,,,
184400000.000000,-59.62,,,
184533333.000000,-59.74,,,
184666667.000000,-59.66,,,
184800000.000000,-59.72,,,
184933333.000000,-59.63,,,
185066667.000000,-59.57,,,
185200000.000000,-59.63,,,
185333333.000000,-59.65,,,
185466667.000000,-59.53,,,
185600000.000000,-59.51,,,
185733333.000000,-59.49,,,
185866667.000000,-59.43,,,
186000000.000000,-59.42,,,
186133333.000000,-59.37,,,
186266667.000000,-59.25,,,
186400000.000000,-59.22,,,
186533333.000000,-59.14,,,
186666667.000000,-59.09,,,
186800000.000000,-59.02,,,
186933333.000000,-58.87,,,
187066667.000000,-58.79,,,
187200000.000000,-58.77,,,
187333333.000000,-58.67,,,
187466667.000000,-58.65,,,
187600000.000000,-58.45,,,
187733333.000000,-58.43,,,
187866667.000000,-58.27,,,
188000000.000000,-58.04,,,
188133333.000000,-58.01,,,
188266667.000000,-57.92,,,
188400000.000000,-57.78,,,
188533333.000000,-57.69,,,
188666667.000000,-57.60,,,
188800000.000000,-57.45,,,
188933333.000000,-57.29,,,
189066667.000000,-57.19,,,
189200000.000000,-57.00,,,
189333333.000000,-56.89,,,
189466667.000000,-56.82,,,
189600000.000000,-56.62,,,
189733333.000000,-56.52,,,
189866667.000000,-56.37,,,
190000000.000000,-56.28,,,
190133333.000000,-56.16,,,
190266667.000000,-55.98,,,
190400000.000000,-55.87,,,
190533333.000000,-55.72,,,
190666667.000000,-55.64,,,
190800000.000000,-55.44,,,
190933333.000000,-55.33,,,
191066667.000000,-55.20,,,
191200000.000000,-55.15,,,
191333333.000000,-54.99,,,
191466667.000000,-54.81,,,
191600000.000000,-54.69,,,
191733333.000000,-54.55,,,
191866667.000000,-54.45,,,
192000000.000000,-54.32,,,
192133333.000000,-54.22,,,
192266667.000000,-54.11,,,
192400000.000000,-53.97,,,
192533333.000000,-53.87,,,
192666667.000000,-53.75,,,
192800000.000000,-53.60,,,
192933333.000000,-53.46,,,
193066667.000000,-53.32,,,
193200000.000000,-53.23,,,
193333333.000000,-53.14,,,
193466667.000000,-52.99,,,
193600000.000000,-52.90,,,
193733333.000000,-52.79,,,
193866667.000000,-52.67,,,
194000000.000000,-52.53,,,
194133333.000000,-52.38,,,
194266667.000000,-52.27,,,
194400000.000000,-52.17,,,
194533333.000000,-52.05,,,
194666667.000000,-52.00,,,
194800000.000000,-51.89,,,
194933333.000000,-51.81,,,
195066667.000000,-51.76,,,
195200000.000000,-51.67,,,
195333333.000000,-51.54,,,
195466667.000000,-51.49,,,
195600000.000000,-51.45,,,
195733333.000000,-51.42,,,
195866667.000000,-51.44,,,
196000000.000000,-51.42,,,
196133333.000000,-51.45,,,
196266667.000000,-51.52,,,
196400000.000000,-51.51,,,
196533333.000000,-51.55,,,
196666667.000000,-51.62,,,
196800000.000000,-51.67,,,
196933333.000000,-51.78,,,
197066667.000000,-51.89,,,
197200000.000000,-52.05,,,
197333333.000000,-52.21,,,
197466667.000000,-52.40,,,
197600000.000000,-52.54,,,
197733333.000000,-52.69,,,
197866667.000000,-52.88,,,
198000000.000000,-53.05,,,
198133333.000000,-53.25,,,
198266667.000000,-53.50,,,
198400000.000000,-53.72,,,
198533333.000000,-53.90,,,
198666667.000000,-54.08,,,
198800000.000000,-54.35,,,
