Machine Module,T3SA3200
Y Axis Scale,LOG
Y Axis Unit,dBm
PreAmp State,OFF
Ref Level,-20.00 dBm
Ref Offset,0.00 dB
Attenuation,0,Manual
X Axis Scale,LINE
Impedance,50
Number of Points,751
Sweep Time(s),0.024000,Auto
Sweep Times Type,Continuous
Sweep Mode,Auto
Sweep Rule,Speed
Start Frequency,250000000
Stop Frequency,350000000
Offset Frequency,0
Average Type,Log Pwr
RBW,1000000.000000,Auto
VBW,1000000.000000,Auto
RBW Filter,Gaussian
Trigger Source,FreeRun
Trigger Level,0.00 dBm
External Trigger Edge,RISE
Video Trigger Edge,RISE
Marker Information
Marker,Trace,Type,X Axis,Amplitude
Peak Table Information
Peak Threshold,-90.00 dBm
Peak Excursion,15.00 dB
Peak,Trace,X Axis,Amplitude
0,1,309.333333 MHz,-48.18 dBm
Trace Math Type,Off
Trace Math Offset, 0
Trace Variable X,Trace A
Trace Variable Y,Trace B
Trace Variable Z,Trace C
Trace Name,Trace A,Trace B,Trace C,Trace D
Trace Type,Average,Blank,Blank,Blank
Trace Detector,Pos Peak,Pos Peak,Pos Peak,Pos Peak
Trace Data
250000000.000000,-63.15,,,
250133333.000000,-63.19,,,
250266667.000000,-63.30,,,
250400000.000000,-63.16,,,
250533333.000000,-63.09,,,
250666667.000000,-63.19,,,
250800000.000000,-63.29,,,
250933333.000000,-63.39,,,
251066667.000000,-63.33,,,
251200000.000000,-63.34,,,
251333333.000000,-63.38,,,
251466667.000000,-63.45,,,
251600000.000000,-63.37,,,
251733333.000000,-63.42,,,
251866667.000000,-63.40,,,
252000000.000000,-63.43,,,
252133333.000000,-63.45,,,
252266667.000000,-63.41,,,
252400000.000000,-63.49,,,
252533333.000000,-63.38,,,
252666667.000000,-63.55,,,
252800000.000000,-63.47,,,
252933333.000000,-63.43,,,
253066667.000000,-63.39,,,
253200000.000000,-63.55,,,
253333333.000000,-63.54,,,
253466667.000000,-63.52,,,
253600000.000000,-63.47,,,
253733333.000000,-63.50,,,
253866667.000000,-63.52,,,
254000000.000000,-63.59,,,
254133333.000000,-63.63,,,
254266667.000000,-63.48,,,
254400000.000000,-63.48,,,
254533333.000000,-63.53,,,
254666667.000000,-63.58,,,
254800000.000000,-63.62,,,
254933333.000000,-63.61,,,
255066667.000000,-63.44,,,
255200000.000000,-63.43,,,
255333333.000000,-63.50,,,
255466667.000000,-63.48,,,
255600000.000000,-63.38,,,
255733333.000000,-63.45,,,
255866667.000000,-63.59,,,
256000000.000000,-63.44,,,
256133333.000000,-63.56,,,
256266667.000000,-63.47,,,
256400000.000000,-63.54,,,
256533333.000000,-63.43,,,
256666667.000000,-63.44,,,
256800000.000000,-63.45,,,
256933333.000000,-63.50,,,
257066667.000000,-63.50,,,
257200000.000000,-63.58,,,
257333333.000000,-63.49,,,
257466667.000000,-63.75,,,
257600000.000000,-63.71,,,
257733333.000000,-63.55,,,
257866667.000000,-63.58,,,
258000000.000000,-63.46,,,
258133333.000000,-63.58,,,
258266667.000000,-63.69,,,
258400000.000000,-63.62,,,
258533333.000000,-63.57,,,
258666667.000000,-63.63,,,
258800000.000000,-63.70,,,
258933333.000000,-63.58,,,
259066667.000000,-63.65,,,
259200000.000000,-63.64,,,
259333333.000000,-63.69,,,
259466667.000000,-63.84,,,
259600000.000000,-63.68,,,
259733333.000000,-63.75,,,
259866667.000000,-63.81,,,
260000000.000000,-63.86,,,
260133333.000000,-63.79,,,
260266667.000000,-63.83,,,
260400000.000000,-63.92,,,
260533333.000000,-63.81,,,
260666667.000000,-63.85,,,
260800000.000000,-64.02,,,
260933333.000000,-63.95,,,
261066667.000000,-63.91,,,
261200000.000000,-64.08,,,
261333333.000000,-64.04,,,
261466667.000000,-64.09,,,
261600000.000000,-64.13,,,
261733333.000000,-64.06,,,
261866667.000000,-64.17,,,
262000000.000000,-64.27,,,
262133333.000000,-64.26,,,
262266667.000000,-64.31,,,
262400000.000000,-64.37,,,
262533333.000000,-64.54,,,
262666667.000000,-64.37,,,
262800000.000000,-64.57,,,
262933333.000000,-64.72,,,
263066667.000000,-64.53,,,
263200000.000000,-64.60,,,
263333333.000000,-64.83,,,
263466667.000000,-64.71,,,
263600000.000000,-64.82,,,
263733333.000000,-64.86,,,
263866667.000000,-64.85,,,
264000000.000000,-65.09,,,
264133333.000000,-65.08,,,
264266667.000000,-65.08,,,
264400000.000000,-65.25,,,
264533333.000000,-65.17,,,
264666667.000000,-65.29,,,
264800000.000000,-65.36,,,
264933333.000000,-65.36,,,
265066667.000000,-65.42,,,
265200000.000000,-65.44,,,
265333333.000000,-65.55,,,
265466667.000000,-65.53,,,
265600000.000000,-65.68,,,
265733333.000000,-65.64,,,
265866667.000000,-65.80,,,
266000000.000000,-65.80,,,
266133333.000000,-65.73,,,
266266667.000000,-65.95,,,
266400000.000000,-65.75,,,
266533333.000000,-66.26,,,
266666667.000000,-66.13,,,
266800000.000000,-66.13,,,
266933333.000000,-66.26,,,
267066667.000000,-66.25,,,
267200000.000000,-66.16,,,
267333333.000000,-66.36,,,
267466667.000000,-66.29,,,
267600000.000000,-66.28,,,
267733333.000000,-66.28,,,
267866667.000000,-66.36,,,
268000000.000000,-66.40,,,
268133333.000000,-66.38,,,
268266667.000000,-66.42,,,
268400000.000000,-66.42,,,
268533333.000000,-66.54,,,
268666667.000000,-66.60,,,
268800000.000000,-66.59,,,
268933333.000000,-66.56,,,
269066667.000000,-66.52,,,
269200000.000000,-66.34,,,
269333333.000000,-66.32,,,
269466667.000000,-66.32,,,
269600000.000000,-66.39,,,
269733333.000000,-66.40,,,
269866667.000000,-66.57,,,
270000000.000000,-66.55,,,
270133333.000000,-66.55,,,
270266667.000000,-66.32,,,
270400000.000000,-66.45,,,
270533333.000000,-66.46,,,
270666667.000000,-66.42,,,
270800000.000000,-66.33,,,
270933333.000000,-66.48,,,
271066667.000000,-66.22,,,
271200000.000000,-66.46,,,
271333333.000000,-66.39,,,
271466667.000000,-66.31,,,
271600000.000000,-66.37,,,
271733333.000000,-66.40,,,
271866667.000000,-66.23,,,
272000000.000000,-66.21,,,
272133333.000000,-66.40,,,
272266667.000000,-66.19,,,
272400000.000000,-66.39,,,
272533333.000000,-66.37,,,
272666667.000000,-66.34,,,
272800000.000000,-66.18,,,
272933333.000000,-66.19,,,
273066667.000000,-66.42,,,
273200000.000000,-66.09,,,
273333333.000000,-66.14,,,
273466667.000000,-66.15,,,
273600000.000000,-66.27,,,
273733333.000000,-66.20,,,
273866667.000000,-66.19,,,
274000000.000000,-66.18,,,
274133333.000000,-66.27,,,
274266667.000000,-66.11,,,
274400000.000000,-66.21,,,
274533333.000000,-66.10,,,
274666667.000000,-66.11,,,
274800000.000000,-66.21,,,
274933333.000000,-66.16,,,
275066667.000000,-66.18,,,
275200000.000000,-65.91,,,
275333333.000000,-66.03,,,
275466667.000000,-65.99,,,
275600000.000000,-65.89,,,
275733333.000000,-65.83,,,
275866667.000000,-65.98,,,
276000000.000000,-65.87,,,
276133333.000000,-65.76,,,
276266667.000000,-65.89,,,
276400000.000000,-65.83,,,
276533333.000000,-65.88,,,
276666667.000000,-65.77,,,
276800000.000000,-65.64,,,
276933333.000000,-65.78,,,
277066667.000000,-65.78,,,
277200000.000000,-65.72,,,
277333333.000000,-65.64,,,
277466667.000000,-65.60,,,
277600000.000000,-65.56,,,
277733333.000000,-65.37,,,
277866667.000000,-65.38,,,
278000000.000000,-65.56,,,
278133333.000000,-65.41,,,
278266667.000000,-65.22,,,
278400000.000000,-65.17,,,
278533333.000000,-65.18,,,
278666667.000000,-65.15,,,
278800000.000000,-65.14,,,
278933333.000000,-65.21,,,
279066667.000000,-65.03,,,
279200000.000000,-64.91,,,
279333333.000000,-64.67,,,
279466667.000000,-64.76,,,
279600000.000000,-64.73,,,
279733333.000000,-64.79,,,
279866667.000000,-64.70,,,
280000000.000000,-64.52,,,
280133333.000000,-64.60,,,
280266667.000000,-64.39,,,
280400000.000000,-64.37,,,
280533333.000000,-64.21,,,
280666667.000000,-64.26,,,
280800000.000000,-64.14,,,
280933333.000000,-64.03,,,
281066667.000000,-63.95,,,
281200000.000000,-63.94,,,
281333333.000000,-63.80,,,
281466667.000000,-63.71,,,
281600000.000000,-63.82,,,
281733333.000000,-63.53,,,
281866667.000000,-63.57,,,
282000000.000000,-63.57,,,
282133333.000000,-63.37,,,
282266667.000000,-63.36,,,
282400000.000000,-63.23,,,
282533333.000000,-63.17,,,
282666667.000000,-63.06,,,
282800000.000000,-63.03,,,
282933333.000000,-62.90,,,
283066667.000000,-62.87,,,
283200000.000000,-62.83,,,
283333333.000000,-62.76,,,
283466667.000000,-62.64,,,
283600000.000000,-62.47,,,
283733333.000000,-62.50,,,
283866667.000000,-62.39,,,
284000000.000000,-62.45,,,
284133333.000000,-62.19,,,
284266667.000000,-62.17,,,
284400000.000000,-62.17,,,
284533333.000000,-62.18,,,
284666667.000000,-61.93,,,
284800000.000000,-62.00,,,
284933333.000000,-61.89,,,
285066667.000000,-61.84,,,
285200000.000000,-61.76,,,
285333333.000000,-61.63,,,
285466667.000000,-61.53,,,
285600000.000000,-61.38,,,
285733333.000000,-61.45,,,
285866667.000000,-61.32,,,
286000000.000000,-61.32,,,
286133333.000000,-61.22,,,
286266667.000000,-61.08,,,
286400000.000000,-60.97,,,
286533333.000000,-60.95,,,
286666667.000000,-60.82,,,
286800000.000000,-60.76,,,
286933333.000000,-60.68,,,
287066667.000000,-60.61,,,
287200000.000000,-60.50,,,
287333333.000000,-60.44,,,
287466667.000000,-60.35,,,
287600000.000000,-60.26,,,
287733333.000000,-60.11,,,
287866667.000000,-60.07,,,
288000000.000000,-59.89,,,
288133333.000000,-59.88,,,
288266667.000000,-59.81,,,
288400000.000000,-59.65,,,
288533333.000000,-59.61,,,
288666667.000000,-59.63,,,
288800000.000000,-59.44,,,
288933333.000000,-59.48,,,
289066667.000000,-59.24,,,
289200000.000000,-59.15,,,
289333333.000000,-59.02,,,
289466667.000000,-58.94,,,
289600000.000000,-58.95,,,
289733333.000000,-58.80,,,
289866667.000000,-58.75,,,
290000000.000000,-58.58,,,
290133333.000000,-58.57,,,
290266667.000000,-58.43,,,
290400000.000000,-58.31,,,
290533333.000000,-58.22,,,
290666667.000000,-58.15,,,
290800000.000000,-58.00,,,
290933333.000000,-57.90,,,
291066667.000000,-57.89,,,
291200000.000000,-57.82,,,
291333333.000000,-57.71,,,
291466667.000000,-57.55,,,
291600000.000000,-57.55,,,
291733333.000000,-57.42,,,
291866667.000000,-57.26,,,
292000000.000000,-57.27,,,
292133333.000000,-57.11,,,
292266667.000000,-57.01,,,
292400000.000000,-56.97,,,
292533333.000000,-56.95,,,
292666667.000000,-56.83,,,
292800000.000000,-56.69,,,
292933333.000000,-56.58,,,
293066667.000000,-56.50,,,
293200000.000000,-56.47,,,
293333333.000000,-56.34,,,
293466667.000000,-56.26,,,
293600000.000000,-56.24,,,
293733333.000000,-56.12,,,
293866667.000000,-56.05,,,
294000000.000000,-55.95,,,
294133333.000000,-55.79,,,
294266667.000000,-55.67,,,
294400000.000000,-55.71,,,
294533333.000000,-55.57,,,
294666667.000000,-55.51,,,
294800000.000000,-55.47,,,
294933333.000000,-55.36,,,
295066667.000000,-55.24,,,
295200000.000000,-55.23,,,
295333333.000000,-55.09,,,
295466667.000000,-54.98,,,
295600000.000000,-54.88,,,
295733333.000000,-54.84,,,
295866667.000000,-54.77,,,
296000000.000000,-54.71,,,
296133333.000000,-54.61,,,
296266667.000000,-54.54,,,
296400000.000000,-54.49,,,
296533333.000000,-54.34,,,
296666667.000000,-54.23,,,
296800000.000000,-54.13,,,
296933333.000000,-54.10,,,
297066667.000000,-54.02,,,
297200000.000000,-53.93,,,
297333333.000000,-53.89,,,
297466667.000000,-53.80,,,
297600000.000000,-53.74,,,
297733333.000000,-53.60,,,
297866667.000000,-53.56,,,
298000000.000000,-53.41,,,
298133333.000000,-53.35,,,
298266667.000000,-53.35,,,
298400000.000000,-53.18,,,
298533333.000000,-53.13,,,
298666667.000000,-53.11,,,
298800000.000000,-53.02,,,
