Machine Module,T3SA3200
Y Axis Scale,LOG
Y Axis Unit,dBm
PreAmp State,OFF
Ref Level,-20.00 dBm
Ref Offset,0.00 dB
Attenuation,0,Manual
X Axis Scale,LINE
Impedance,50
Number of Points,751
Sweep Time(s),0.024000,Auto
Sweep Times Type,Continuous
Sweep Mode,Auto
Sweep Rule,Speed
Start Frequency,50000000
Stop Frequency,150000000
Offset Frequency,0
Average Type,Log Pwr
RBW,1000000.000000,Auto
VBW,1000000.000000,Auto
RBW Filter,Gaussian
Trigger Source,FreeRun
Trigger Level,0.00 dBm
External Trigger Edge,RISE
Video Trigger Edge,RISE
Marker Information
Marker,Trace,Type,X Axis,Amplitude
Peak Table Information
Peak Threshold,-90.00 dBm
Peak Excursion,15.00 dB
Peak,Trace,X Axis,Amplitude
0,1,109.733333 MHz,-53.41 dBm
1,1,69.866667 MHz,-58.41 dBm
Trace Math Type,Off
Trace Math Offset, 0
Trace Variable X,Trace A
Trace Variable Y,Trace B
Trace Variable Z,Trace C
Trace Name,Trace A,Trace B,Trace C,Trace D
Trace Type,Average,Blank,Blank,Blank
Trace Detector,Pos Peak,Pos Peak,Pos Peak,Pos Peak
Trace Data
50000000.000000,-68.25,,,
50133333.000000,-68.72,,,
50266667.000000,-69.38,,,
50400000.000000,-69.64,,,
50533333.000000,-70.01,,,
50666667.000000,-70.43,,,
50800000.000000,-71.06,,,
50933333.000000,-71.33,,,
51066667.000000,-71.60,,,
51200000.000000,-71.93,,,
51333333.000000,-72.77,,,
51466667.000000,-72.97,,,
51600000.000000,-73.14,,,
51733333.000000,-73.31,,,
51866667.000000,-73.71,,,
52000000.000000,-73.39,,,
52133333.000000,-74.56,,,
52266667.000000,-74.07,,,
52400000.000000,-74.74,,,
52533333.000000,-74.97,,,
52666667.000000,-74.55,,,
52800000.000000,-74.90,,,
52933333.000000,-75.08,,,
53066667.000000,-75.19,,,
53200000.000000,-75.42,,,
53333333.000000,-74.80,,,
53466667.000000,-74.90,,,
53600000.000000,-74.62,,,
53733333.000000,-74.79,,,
53866667.000000,-74.57,,,
54000000.000000,-74.79,,,
54133333.000000,-74.86,,,
54266667.000000,-74.86,,,
54400000.000000,-74.53,,,
54533333.000000,-74.73,,,
54666667.000000,-74.88,,,
54800000.000000,-74.66,,,
54933333.000000,-74.63,,,
55066667.000000,-74.50,,,
55200000.000000,-74.63,,,
55333333.000000,-74.45,,,
55466667.000000,-74.57,,,
55600000.000000,-74.26,,,
55733333.000000,-74.39,,,
55866667.000000,-74.46,,,
56000000.000000,-74.23,,,
56133333.000000,-73.86,,,
56266667.000000,-73.79,,,
56400000.000000,-74.21,,,
56533333.000000,-73.83,,,
56666667.000000,-73.90,,,
56800000.000000,-73.82,,,
56933333.000000,-73.29,,,
57066667.000000,-73.66,,,
57200000.000000,-73.39,,,
57333333.000000,-73.47,,,
57466667.000000,-73.32,,,
57600000.000000,-73.30,,,
57733333.000000,-73.06,,,
57866667.000000,-72.98,,,
58000000.000000,-73.02,,,
58133333.000000,-72.58,,,
58266667.000000,-72.58,,,
58400000.000000,-72.71,,,
58533333.000000,-72.28,,,
58666667.000000,-72.59,,,
58800000.000000,-72.22,,,
58933333.000000,-72.10,,,
59066667.000000,-72.21,,,
59200000.000000,-72.44,,,
59333333.000000,-72.01,,,
59466667.000000,-71.76,,,
59600000.000000,-71.69,,,
59733333.000000,-71.78,,,
59866667.000000,-71.82,,,
60000000.000000,-71.44,,,
60133333.000000,-71.49,,,
60266667.000000,-71.30,,,
60400000.000000,-71.09,,,
60533333.000000,-70.92,,,
60666667.000000,-70.74,,,
60800000.000000,-70.70,,,
60933333.000000,-70.94,,,
61066667.000000,-70.56,,,
61200000.000000,-70.47,,,
61333333.000000,-70.36,,,
61466667.000000,-70.45,,,
61600000.000000,-70.36,,,
61733333.000000,-70.24,,,
61866667.000000,-69.85,,,
62000000.000000,-69.87,,,
62133333.000000,-70.07,,,
62266667.000000,-69.95,,,
62400000.000000,-69.75,,,
62533333.000000,-69.55,,,
62666667.000000,-69.63,,,
62800000.000000,-69.62,,,
62933333.000000,-69.37,,,
63066667.000000,-69.42,,,
63200000.000000,-69.04,,,
63333333.000000,-68.92,,,
63466667.000000,-68.99,,,
63600000.000000,-68.89,,,
63733333.000000,-68.76,,,
63866667.000000,-68.50,,,
64000000.000000,-68.54,,,
64133333.000000,-68.27,,,
64266667.000000,-68.10,,,
64400000.000000,-68.18,,,
64533333.000000,-68.18,,,
64666667.000000,-68.02,,,
64800000.000000,-67.73,,,
64933333.000000,-67.68,,,
65066667.000000,-67.54,,,
65200000.000000,-67.55,,,
65333333.000000,-67.23,,,
65466667.000000,-67.21,,,
65600000.000000,-66.95,,,
65733333.000000,-67.01,,,
65866667.000000,-66.73,,,
66000000.000000,-66.66,,,
66133333.000000,-66.36,,,
66266667.000000,-66.05,,,
66400000.000000,-66.10,,,
66533333.000000,-65.78,,,
66666667.000000,-65.76,,,
66800000.000000,-65.48,,,
66933333.000000,-65.41,,,
67066667.000000,-65.11,,,
67200000.000000,-65.02,,,
67333333.000000,-64.74,,,
67466667.000000,-64.57,,,
67600000.000000,-64.34,,,
67733333.000000,-64.09,,,
67866667.000000,-63.93,,,
68000000.000000,-63.41,,,
68133333.000000,-63.16,,,
68266667.000000,-62.94,,,
68400000.000000,-62.52,,,
68533333.000000,-62.24,,,
68666667.000000,-61.90,,,
68800000.000000,-61.42,,,
68933333.000000,-61.05,,,
69066667.000000,-60.54,,,
69200000.000000,-60.19,,,
69333333.000000,-59.64,,,
69466667.000000,-59.37,,,
69600000.000000,-58.91,,,
69733333.000000,-58.68,,,
69866667.000000,-58.43,,,
70000000.000000,-58.52,,,
70133333.000000,-58.85,,,
70266667.000000,-59.27,,,
70400000.000000,-60.03,,,
70533333.000000,-60.87,,,
70666667.000000,-61.85,,,
70800000.000000,-63.06,,,
70933333.000000,-64.33,,,
71066667.000000,-65.25,,,
71200000.000000,-66.67,,,
71333333.000000,-67.72,,,
71466667.000000,-68.80,,,
71600000.000000,-70.13,,,
71733333.000000,-71.05,,,
71866667.000000,-72.23,,,
72000000.000000,-73.35,,,
72133333.000000,-74.45,,,
72266667.000000,-75.55,,,
72400000.000000,-76.73,,,
72533333.000000,-76.76,,,
72666667.000000,-78.23,,,
72800000.000000,-78.70,,,
72933333.000000,-79.91,,,
73066667.000000,-79.99,,,
73200000.000000,-79.21,,,
73333333.000000,-79.54,,,
73466667.000000,-79.27,,,
73600000.000000,-80.00,,,
73733333.000000,-78.71,,,
73866667.000000,-78.92,,,
74000000.000000,-78.56,,,
74133333.000000,-78.57,,,
74266667.000000,-77.82,,,
74400000.000000,-77.30,,,
74533333.000000,-77.27,,,
74666667.000000,-76.97,,,
74800000.000000,-76.91,,,
74933333.000000,-76.55,,,
75066667.000000,-76.33,,,
75200000.000000,-76.25,,,
75333333.000000,-75.76,,,
75466667.000000,-75.64,,,
75600000.000000,-75.49,,,
75733333.000000,-75.20,,,
75866667.000000,-75.13,,,
76000000.000000,-75.43,,,
76133333.000000,-75.57,,,
76266667.000000,-74.36,,,
76400000.000000,-75.05,,,
76533333.000000,-74.06,,,
76666667.000000,-74.58,,,
76800000.000000,-74.43,,,
76933333.000000,-74.21,,,
77066667.000000,-74.37,,,
77200000.000000,-74.07,,,
77333333.000000,-74.35,,,
77466667.000000,-74.07,,,
77600000.000000,-74.05,,,
77733333.000000,-73.78,,,
77866667.000000,-74.06,,,
78000000.000000,-73.57,,,
78133333.000000,-73.88,,,
78266667.000000,-73.67,,,
78400000.000000,-73.70,,,
78533333.000000,-73.90,,,
78666667.000000,-73.91,,,
78800000.000000,-73.39,,,
78933333.000000,-73.34,,,
79066667.000000,-73.49,,,
79200000.000000,-73.41,,,
79333333.000000,-73.46,,,
79466667.000000,-73.38,,,
79600000.000000,-73.33,,,
79733333.000000,-73.75,,,
79866667.000000,-73.19,,,
80000000.000000,-73.59,,,
80133333.000000,-73.44,,,
80266667.000000,-73.62,,,
80400000.000000,-73.77,,,
80533333.000000,-73.29,,,
80666667.000000,-73.12,,,
80800000.000000,-73.14,,,
80933333.000000,-72.91,,,
81066667.000000,-73.32,,,
81200000.000000,-73.44,,,
81333333.000000,-73.05,,,
81466667.000000,-72.94,,,
81600000.000000,-73.61,,,
81733333.000000,-73.29,,,
81866667.000000,-72.99,,,
82000000.000000,-73.22,,,
82133333.000000,-73.22,,,
82266667.000000,-73.37,,,
82400000.000000,-73.25,,,
82533333.000000,-72.77,,,
82666667.000000,-72.95,,,
82800000.000000,-73.04,,,
82933333.000000,-72.90,,,
83066667.000000,-72.96,,,
83200000.000000,-72.83,,,
83333333.000000,-72.53,,,
83466667.000000,-72.52,,,
83600000.000000,-72.49,,,
83733333.000000,-72.50,,,
83866667.000000,-72.37,,,
84000000.000000,-72.43,,,
84133333.000000,-72.35,,,
84266667.000000,-72.37,,,
84400000.000000,-72.06,,,
84533333.000000,-72.00,,,
84666667.000000,-71.74,,,
84800000.000000,-71.59,,,
84933333.000000,-71.59,,,
85066667.000000,-71.57,,,
85200000.000000,-71.44,,,
85333333.000000,-71.20,,,
85466667.000000,-71.22,,,
85600000.000000,-70.97,,,
85733333.000000,-70.88,,,
85866667.000000,-71.27,,,
86000000.000000,-71.27,,,
86133333.000000,-71.17,,,
86266667.000000,-70.79,,,
86400000.000000,-70.80,,,
86533333.000000,-70.58,,,
86666667.000000,-70.39,,,
86800000.000000,-70.35,,,
86933333.000000,-70.16,,,
87066667.000000,-70.14,,,
87200000.000000,-70.44,,,
87333333.000000,-69.91,,,
87466667.000000,-69.92,,,
87600000.000000,-69.87,,,
87733333.000000,-69.51,,,
87866667.000000,-69.71,,,
88000000.000000,-69.50,,,
88133333.000000,-69.41,,,
88266667.000000,-69.34,,,
88400000.000000,-69.10,,,
88533333.000000,-69.09,,,
88666667.000000,-69.27,,,
88800000.000000,-68.98,,,
88933333.000000,-68.92,,,
89066667.000000,-68.71,,,
89200000.000000,-68.33,,,
89333333.000000,-68.77,,,
89466667.000000,-68.35,,,
89600000.000000,-68.47,,,
89733333.000000,-68.25,,,
89866667.000000,-68.42,,,
90000000.000000,-68.25,,,
90133333.000000,-68.17,,,
90266667.000000,-67.89,,,
90400000.000000,-67.82,,,
90533333.000000,-67.64,,,
90666667.000000,-67.62,,,
90800000.000000,-67.77,,,
90933333.000000,-67.46,,,
91066667.000000,-67.40,,,
91200000.000000,-67.27,,,
91333333.000000,-67.36,,,
91466667.000000,-67.12,,,
91600000.000000,-67.19,,,
91733333.000000,-66.93,,,
91866667.000000,-67.31,,,
92000000.000000,-66.84,,,
92133333.000000,-66.84,,,
92266667.000000,-66.75,,,
92400000.000000,-66.64,,,
92533333.000000,-66.45,,,
92666667.000000,-66.51,,,
92800000.000000,-66.38,,,
92933333.000000,-66.38,,,
93066667.000000,-66.26,,,
93200000.000000,-66.29,,,
93333333.000000,-65.97,,,
93466667.000000,-66.06,,,
93600000.000000,-66.07,,,
93733333.000000,-65.77,,,
93866667.000000,-65.72,,,
94000000.000000,-65.67,,,
94133333.000000,-65.47,,,
94266667.000000,-65.52,,,
94400000.000000,-65.24,,,
94533333.000000,-65.27,,,
94666667.000000,-65.21,,,
94800000.000000,-64.96,,,
94933333.000000,-65.03,,,
95066667.000000,-64.77,,,
95200000.000000,-64.79,,,
95333333.000000,-64.63,,,
95466667.000000,-64.27,,,
95600000.000000,-64.28,,,
95733333.000000,-64.08,,,
95866667.000000,-63.91,,,
96000000.000000,-63.53,,,
96133333.000000,-63.40,,,
96266667.000000,-63.32,,,
96400000.000000,-63.11,,,
96533333.000000,-62.94,,,
96666667.000000,-62.54,,,
96800000.000000,-62.23,,,
96933333.000000,-62.10,,,
97066667.000000,-61.81,,,
97200000.000000,-61.55,,,
97333333.000000,-61.26,,,
97466667.000000,-60.98,,,
97600000.000000,-60.69,,,
97733333.000000,-60.44,,,
97866667.000000,-60.05,,,
98000000.000000,-59.77,,,
98133333.000000,-59.58,,,
98266667.000000,-59.21,,,
98400000.000000,-58.98,,,
98533333.000000,-58.66,,,
98666667.000000,-58.42,,,
