Frequency(Hz),
10000000,-85.68
10386667,-85.61
10773333,-85.36
11160000,-84.89
11546667,-85.79
11933333,-85.19
12320000,-84.81
12706667,-85.73
13093333,-84.67
13480000,-85.26
13866667,-84.27
14253333,-84.63
14640000,-84.59
15026667,-84.53
15413333,-84.05
15800000,-84.23
16186667,-84.31
16573333,-84.9
16960000,-84.53
17346667,-85.08
17733333,-84.42
18120000,-84.49
18506667,-85.27
18893333,-84.48
19280000,-85.75
19666667,-85.24
20053333,-85.43
20440000,-85.67
20826667,-85.37
21213333,-85.72
21600000,-85.13
21986667,-85.52
22373333,-85.96
22760000,-85.14
23146667,-85.9
23533333,-84.93
23920000,-85.77
24306667,-84.37
24693333,-83.05
25080000,-81.17
25466667,-78.82
25853333,-73.6
26240000,-70.03
26626667,-72.97
27013333,-78.57
27400000,-82.59
27786667,-83.53
28173333,-85.41
28560000,-84.64
28946667,-85.05
29333333,-86.26
29720000,-85.18
30106667,-85.47
30493333,-86.05
30880000,-85.53
31266667,-84.36
31653333,-84.21
32040000,-84.56
32426667,-83.48
32813333,-83.14
33200000,-82.27
33586667,-83.42
33973333,-83.14
34360000,-82.37
34746667,-81.5
35133333,-81.66
35520000,-81.16
35906667,-81.83
36293333,-81
36680000,-81.51
37066667,-81.07
37453333,-80.41
37840000,-80.71
38226667,-79.92
38613333,-79.95
39000000,-79.06
39386667,-79.14
39773333,-78.12
40160000,-78.25
40546667,-77.34
40933333,-76.88
41320000,-75.51
41706667,-74.64
42093333,-73.42
42480000,-72.79
42866667,-71.55
43253333,-70.37
43640000,-69.05
44026667,-67.77
44413333,-66.12
44800000,-64.92
45186667,-63.11
45573333,-61.22
45960000,-58.9
46346667,-56.15
46733333,-53.39
47120000,-52.45
47506667,-53.53
47893333,-56.55
48280000,-59.4
48666667,-61.91
49053333,-64.2
49440000,-65.83
49826667,-67.66
50213333,-69.13
50600000,-70.22
50986667,-71.25
51373333,-72.8
51760000,-73.3
52146667,-74.11
52533333,-74.21
52920000,-74.71
53306667,-75.17
53693333,-74.74
54080000,-75.1
54466667,-74.81
54853333,-74.76
55240000,-74.27
55626667,-74.03
56013333,-73.91
56400000,-73.63
56786667,-73.45
57173333,-73.43
57560000,-72.91
57946667,-72.73
58333333,-72.47
58720000,-72.13
59106667,-71.89
59493333,-71.64
59880000,-71.6
60266667,-71.24
60653333,-70.99
61040000,-70.57
61426667,-70.55
61813333,-69.98
62200000,-69.95
62586667,-69.54
62973333,-69.1
63360000,-68.91
63746667,-68.55
64133333,-68.34
64520000,-68.01
64906667,-67.61
65293333,-67.07
65680000,-66.72
66066667,-66.25
66453333,-65.76
66840000,-65.24
67226667,-64.71
67613333,-63.9
68000000,-63.02
68386667,-62.01
68773333,-60.97
69160000,-59.67
69546667,-59.09
69933333,-59.21
70320000,-60.97
70706667,-64
71093333,-67.71
71480000,-71.05
71866667,-74.83
72253333,-77.88
72640000,-79.76
73026667,-79.8
73413333,-78.98
73800000,-77.13
74186667,-76.33
74573333,-76.01
74960000,-75.15
75346667,-74.64
75733333,-74.54
76120000,-73.68
76506667,-73.64
76893333,-73.2
77280000,-73.16
77666667,-73.13
78053333,-73.13
78440000,-72.75
78826667,-72.77
79213333,-72.8
79600000,-72.78
79986667,-73.06
80373333,-72.81
80760000,-72.76
81146667,-72.81
81533333,-72.64
81920000,-72.35
82306667,-72.43
82693333,-72.58
83080000,-72.51
83466667,-72.44
83853333,-72.46
84240000,-71.9
84626667,-71.77
85013333,-71.61
85400000,-71.25
85786667,-71.08
86173333,-70.61
86560000,-70.45
86946667,-70.32
87333333,-69.72
87720000,-69.58
88106667,-69.66
88493333,-69.17
88880000,-68.71
89266667,-68.59
89653333,-68.19
90040000,-68.22
90426667,-67.74
90813333,-67.48
91200000,-67.12
91586667,-66.91
91973333,-66.61
92360000,-66.51
92746667,-66.14
93133333,-66.03
93520000,-65.74
93906667,-65.39
94293333,-64.96
94680000,-64.76
95066667,-64.27
95453333,-63.69
95840000,-63.21
96226667,-62.55
96613333,-62.02
97000000,-61.2
97386667,-60.49
97773333,-59.75
98160000,-59.06
98546667,-58.29
98933333,-57.57
99320000,-56.93
99706667,-56.46
100093333,-56.05
100480000,-55.82
100866667,-55.65
101253333,-55.65
101640000,-55.6
102026667,-55.64
102413333,-55.75
102800000,-55.83
103186667,-55.87
103573333,-55.96
103960000,-56.05
104346667,-56.03
104733333,-56.04
105120000,-56.02
105506667,-55.92
105893333,-55.81
106280000,-55.69
106666667,-55.43
107053333,-55.25
107440000,-55.03
107826667,-54.67
108213333,-54.42
108600000,-54.14
108986667,-53.8
109373333,-53.58
109760000,-53.48
110146667,-53.64
110533333,-53.87
