Frequency(Hz),Amplitude
10000000,-85.7
10386667,-85.5
10773333,-85.59
11160000,-85.06
11546667,-84.77
11933333,-85.46
12320000,-85.14
12706667,-84.72
13093333,-84.42
13480000,-84
13866667,-84.4
14253333,-83.44
14640000,-84.48
15026667,-84.4
15413333,-84.36
15800000,-84.52
16186667,-83.75
16573333,-84.31
16960000,-84.31
17346667,-84.32
17733333,-85.07
18120000,-83.96
18506667,-84.51
18893333,-85.14
19280000,-84.96
19666667,-84.89
20053333,-84.96
20440000,-85.78
20826667,-85.15
21213333,-85.77
21600000,-85.19
21986667,-85.08
22373333,-85.4
22760000,-84.8
23146667,-85.47
23533333,-85.06
23920000,-84.33
24306667,-83.77
24693333,-80.67
25080000,-78.84
25466667,-73.12
25853333,-70.1
26240000,-74.65
26626667,-79.22
27013333,-82.85
27400000,-83.55
27786667,-83.73
28173333,-85.59
28560000,-85
28946667,-85.93
29333333,-85.22
29720000,-85.52
30106667,-85.82
30493333,-84.76
30880000,-84.3
31266667,-84.7
31653333,-84.45
32040000,-83.89
32426667,-83.17
32813333,-83.66
33200000,-83.49
33586667,-83.22
33973333,-81.75
34360000,-81.63
34746667,-81.5
35133333,-81.55
35520000,-80.89
35906667,-80.85
36293333,-80.16
36680000,-80.41
37066667,-79.55
37453333,-79.82
37840000,-79.25
38226667,-79.7
38613333,-79.08
39000000,-78.27
39386667,-78.06
39773333,-77.58
40160000,-77.44
40546667,-76.47
40933333,-75.62
41320000,-74.55
41706667,-73.42
42093333,-72.42
42480000,-71.01
42866667,-69.78
43253333,-68.14
43640000,-66.78
44026667,-65.06
44413333,-63.1
44800000,-61.03
45186667,-58.4
45573333,-55.26
45960000,-52.42
46346667,-52.06
46733333,-54.13
47120000,-57.34
47506667,-60.1
47893333,-62.43
48280000,-64.28
48666667,-65.93
49053333,-67.69
49440000,-69.07
49826667,-70.26
50213333,-71.71
50600000,-72.58
50986667,-73.58
51373333,-74.27
51760000,-75.07
52146667,-75.5
52533333,-75.95
52920000,-76.22
53306667,-76.15
53693333,-76.33
54080000,-76.1
54466667,-76.13
54853333,-76.01
55240000,-75.84
55626667,-75.01
56013333,-75.1
56400000,-74.98
56786667,-74.42
57173333,-74.55
57560000,-73.97
57946667,-73.57
