Trace Data,
10000000,-85.52
10386667,-85.21
10773333,-85.35
11160000,-85.8
11546667,-85.59
11933333,-85.68
12320000,-85.15
12706667,-84.56
13093333,-84.72
13480000,-84.44
13866667,-84.36
14253333,-83.78
14640000,-84.1
15026667,-84.14
15413333,-84.37
15800000,-83.66
16186667,-84.37
16573333,-84.13
16960000,-84.07
17346667,-84.85
17733333,-85.36
18120000,-85.28
18506667,-84.44
18893333,-85.23
19280000,-85.36
19666667,-85.43
20053333,-85.57
20440000,-84.95
20826667,-85.42
21213333,-84.8
21600000,-85.4
21986667,-84.71
22373333,-85.72
22760000,-85.6
23146667,-84.83
23533333,-85.07
23920000,-83.79
24306667,-83.82
24693333,-82.38
25080000,-79.97
25466667,-74.87
25853333,-70.05
26240000,-72.79
26626667,-78.3
27013333,-81.32
27400000,-83.67
27786667,-84.16
28173333,-85.68
28560000,-86.02
28946667,-86.31
29333333,-85.6
29720000,-85.1
30106667,-85.52
30493333,-85.28
30880000,-84.49
31266667,-83.84
31653333,-84.43
32040000,-83.64
32426667,-83.53
32813333,-83.5
33200000,-82.82
33586667,-83.2
33973333,-82.18
34360000,-81.22
34746667,-81.61
35133333,-81.8
35520000,-80.97
35906667,-80.88
36293333,-80.78
36680000,-79.77
37066667,-80.58
37453333,-80.14
37840000,-79.77
38226667,-79.45
38613333,-78.7
39000000,-77.97
39386667,-78.12
39773333,-77.84
40160000,-77.06
40546667,-75.96
40933333,-75.69
41320000,-74.92
41706667,-73.51
42093333,-72.73
42480000,-71.6
42866667,-70.08
43253333,-68.72
43640000,-67.29
44026667,-65.74
44413333,-64.19
44800000,-62.26
45186667,-60.14
45573333,-57.49
45960000,-54.47
46346667,-52.19
46733333,-52.22
47120000,-54.71
47506667,-57.9
47893333,-60.54
48280000,-62.72
48666667,-64.87
49053333,-66.54
49440000,-68.13
49826667,-69.48
50213333,-70.75
50600000,-71.64
50986667,-72.69
51373333,-73.88
51760000,-74.34
52146667,-74.73
52533333,-75.29
52920000,-75.86
53306667,-75.7
53693333,-75.55
54080000,-75.97
54466667,-75.89
54853333,-75.26
55240000,-75.15
55626667,-74.62
56013333,-74.76
56400000,-74.46
56786667,-74.06
57173333,-73.75
57560000,-73.18
57946667,-73.35
58333333,-72.77
58720000,-72.67
59106667,-72.46
59493333,-72.2
59880000,-72.04
60266667,-71.38
60653333,-71.22
61040000,-70.99
61426667,-70.91
61813333,-70.55
62200000,-70.01
62586667,-70.04
62973333,-69.45
63360000,-69.22
63746667,-69.06
64133333,-68.57
64520000,-68.06
64906667,-67.45
65293333,-67.24
65680000,-66.63
66066667,-66.26
66453333,-65.65
66840000,-64.97
67226667,-64.19
67613333,-63.27
68000000,-62.15
68386667,-61.18
68773333,-60.64
69160000,-60.88
69546667,-62.68
69933333,-66.18
70320000,-70.34
70706667,-74.84
71093333,-79.91
71480000,-83.14
71866667,-81.94
72253333,-79.54
72640000,-77.7
73026667,-76.44
73413333,-75.41
73800000,-74.66
74186667,-74.18
74573333,-73.82
74960000,-73.21
75346667,-72.78
75733333,-72.8
76120000,-72.37
76506667,-72.34
76893333,-72.05
77280000,-72.01
77666667,-72.24
78053333,-72.01
78440000,-72.04
78826667,-71.89
79213333,-71.9
79600000,-71.92
79986667,-72.17
80373333,-72.04
80760000,-72.25
81146667,-72.54
81533333,-72.33
81920000,-72.21
82306667,-72.69
82693333,-72.41
83080000,-72.26
83466667,-72.66
83853333,-72.26
84240000,-72.12
84626667,-72.09
85013333,-71.96
85400000,-71.6
85786667,-71.31
86173333,-71.25
86560000,-70.91
86946667,-70.45
87333333,-70.36
87720000,-69.79
88106667,-69.77
88493333,-69.48
88880000,-69.12
89266667,-68.77
89653333,-68.66
90040000,-68.2
90426667,-67.82
90813333,-67.58
91200000,-67.27
91586667,-66.94
91973333,-66.66
92360000,-66.39
92746667,-65.95
93133333,-65.8
93520000,-65.46
93906667,-65.17
94293333,-64.71
94680000,-64.17
95066667,-63.76
95453333,-63.22
95840000,-62.5
96226667,-61.95
96613333,-61.05
97000000,-60.46
97386667,-59.78
97773333,-59.19
98160000,-58.66
98546667,-58.2
98933333,-57.77
99320000,-57.45
99706667,-57.26
100093333,-57.14
100480000,-57.06
100866667,-57.07
101253333,-57.15
101640000,-57.1
102026667,-57.11
102413333,-57.13
102800000,-57.12
103186667,-57.1
103573333,-57.01
103960000,-56.91
104346667,-56.7
104733333,-56.52
105120000,-56.37
105506667,-56.13
105893333,-55.86
106280000,-55.58
106666667,-55.16
107053333,-54.78
107440000,-54.44
107826667,-54.01
108213333,-53.71
108600000,-53.59
108986667,-53.61
109373333,-53.82
109760000,-54.51
