Frequency(Hz),Air,Water,NaOH,HCl,NaCl,Ethanol,Glycerol,nothing
10000000,-85.68,-85.7,-84.83,-85.69,-85.84,-85.52,-85.91,-85.98
10386667,-85.61,-85.5,-85.85,-85.18,-85.64,-85.21,-85.42,-84.97
10773333,-85.36,-85.59,-85.25,-84.69,-84.93,-85.35,-85.22,-85.39
11160000,-84.89,-85.06,-85.17,-85.28,-85.35,-85.8,-85.07,-85.66
11546667,-85.79,-84.77,-85.39,-85.4,-86.2,-85.59,-85.3,-85.38
11933333,-85.19,-85.46,-85.02,-85.39,-84.88,-85.68,-85.01,-85
12320000,-84.81,-85.14,-85.08,-84.5,-84.97,-85.15,-84.85,-84.49
12706667,-85.73,-84.72,-83.89,-84.9,-84.57,-84.56,-84.92,-85.37
13093333,-84.67,-84.42,-84.4,-84.57,-84.83,-84.72,-84.75,-84.87
13480000,-85.26,-84,-84.69,-84.05,-84.84,-84.44,-84.01,-84.17
13866667,-84.27,-84.4,-84,-84.15,-84.54,-84.36,-84.84,-84.65
14253333,-84.63,-83.44,-84.28,-82.96,-84.53,-83.78,-83.78,-84.5
14640000,-84.59,-84.48,-84.03,-83.76,-84.08,-84.1,-84.3,-84.35
15026667,-84.53,-84.4,-83.76,-84.34,-84.36,-84.14,-83.83,-84.28
15413333,-84.05,-84.36,-84.14,-83.59,-83.27,-84.37,-84.72,-85.3
15800000,-84.23,-84.52,-84.46,-83.96,-83.8,-83.66,-83.92,-83.98
16186667,-84.31,-83.75,-83.78,-83.62,-85.2,-84.37,-84.16,-84.1
16573333,-84.9,-84.31,-84.14,-84.51,-83.74,-84.13,-84.33,-84.69
16960000,-84.53,-84.31,-83.88,-84.15,-84.74,-84.07,-84.46,-84.29
17346667,-85.08,-84.32,-84.82,-83.83,-83.5,-84.85,-84.7,-84.8
17733333,-84.42,-85.07,-84.3,-85.09,-84.55,-85.36,-84.55,-84.71
18120000,-84.49,-83.96,-84.66,-84.67,-84.71,-85.28,-84.03,-84.73
18506667,-85.27,-84.51,-84.7,-84.78,-84.77,-84.44,-85.14,-84.52
18893333,-84.48,-85.14,-84.4,-84.19,-83.97,-85.23,-85.18,-84.67
19280000,-85.75,-84.96,-84.97,-84.79,-84.85,-85.36,-85.36,-85.33
19666667,-85.24,-84.89,-85.35,-84.59,-84.6,-85.43,-83.87,-84.66
20053333,-85.43,-84.96,-85.02,-84.73,-84.58,-85.57,-84.71,-85.2
20440000,-85.67,-85.78,-84.75,-84.89,-85.22,-84.95,-85.25,-85.77
20826667,-85.37,-85.15,-85.16,-84.94,-85.03,-85.42,-85.05,-85.24
21213333,-85.72,-85.77,-84.66,-84.54,-85.34,-84.8,-85.49,-84.74
21600000,-85.13,-85.19,-85.41,-85.22,-85.07,-85.4,-85.01,-85.03
21986667,-85.52,-85.08,-85.42,-84.82,-84.09,-84.71,-85.26,-84.65
22373333,-85.96,-85.4,-84.91,-84.91,-84.67,-85.72,-85.55,-84.81
22760000,-85.14,-84.8,-85.14,-84.74,-84.95,-85.6,-85.44,-84.81
23146667,-85.9,-85.47,-84.88,-84.76,-85.28,-84.83,-84.69,-85.38
23533333,-84.93,-85.06,-84,-84.48,-84.64,-85.07,-84.25,-84.86
23920000,-85.77,-84.33,-84.67,-83.75,-84.27,-83.79,-84.37,-84.26
24306667,-84.37,-83.77,-82.28,-82.97,-82.81,-83.82,-82.26,-83.44
24693333,-83.05,-80.67,-81.27,-81.18,-80.23,-82.38,-82.65,-83.26
25080000,-81.17,-78.84,-77,-77.82,-77.61,-79.97,-79.31,-81.7
25466667,-78.82,-73.12,-71.79,-71.84,-71.66,-74.87,-74.15,-78.89
25853333,-73.6,-70.1,-70.69,-70.99,-70.52,-70.05,-70.93,-74.77
