Machine Module,T3SA3200
Y Axis Scale,LOG
Y Axis Unit,dBm
PreAmp State,OFF
Ref Level,-20.00 dBm
Ref Offset,0.00 dB
Attenuation,0,Manual
X Axis Scale,LINE
Impedance,50
Number of Points,751
Sweep Time(s),0.048000,Auto
Sweep Times Type,Continuous
Sweep Mode,Auto
Sweep Rule,Speed
Start Frequency,10000000
Stop Frequency,300000000
Offset Frequency,0
Average Type,Log Pwr
RBW,1000000.000000,Auto
VBW,1000000.000000,Auto
RBW Filter,Gaussian
Trigger Source,FreeRun
Trigger Level,0.00 dBm
External Trigger Edge,RISE
Video Trigger Edge,RISE
Marker Information
Marker,Trace,Type,X Axis,Amplitude
Peak Table Information
Peak Threshold,-90.00 dBm
Peak Excursion,15.00 dB
Peak,Trace,X Axis,Amplitude
0,1,197.146667 MHz,-49.24 dBm
1,1,47.120000 MHz,-52.40 dBm
2,1,109.760000 MHz,-53.54 dBm
3,1,69.933333 MHz,-58.94 dBm
4,1,26.240000 MHz,-69.72 dBm
Trace Math Type,Off
Trace Math Offset, 0
Trace Variable X,Trace A
Trace Variable Y,Trace B
Trace Variable Z,Trace C
Trace Name,Trace A,Trace B,Trace C,Trace D
Trace Type,Average,Blank,Blank,Blank
Trace Detector,Pos Peak,Pos Peak,Pos Peak,Pos Peak
Trace Data
10000000.000000,-85.98,,,
10386667.000000,-84.97,,,
10773333.000000,-85.39,,,
11160000.000000,-85.66,,,
11546667.000000,-85.38,,,
11933333.000000,-85.00,,,
12320000.000000,-84.49,,,
12706667.000000,-85.37,,,
13093333.000000,-84.87,,,
13480000.000000,-84.17,,,
13866667.000000,-84.65,,,
14253333.000000,-84.50,,,
14640000.000000,-84.35,,,
15026667.000000,-84.28,,,
15413333.000000,-85.30,,,
15800000.000000,-83.98,,,
16186667.000000,-84.10,,,
16573333.000000,-84.69,,,
16960000.000000,-84.29,,,
17346667.000000,-84.80,,,
17733333.000000,-84.71,,,
18120000.000000,-84.73,,,
18506667.000000,-84.52,,,
18893333.000000,-84.67,,,
19280000.000000,-85.33,,,
19666667.000000,-84.66,,,
20053333.000000,-85.20,,,
20440000.000000,-85.77,,,
20826667.000000,-85.24,,,
21213333.000000,-84.74,,,
21600000.000000,-85.03,,,
21986667.000000,-84.65,,,
22373333.000000,-84.81,,,
22760000.000000,-84.81,,,
23146667.000000,-85.38,,,
23533333.000000,-84.86,,,
23920000.000000,-84.26,,,
24306667.000000,-83.44,,,
24693333.000000,-83.26,,,
25080000.000000,-81.70,,,
25466667.000000,-78.89,,,
25853333.000000,-74.77,,,
26240000.000000,-69.72,,,
26626667.000000,-71.71,,,
27013333.000000,-77.38,,,
27400000.000000,-81.32,,,
27786667.000000,-83.08,,,
28173333.000000,-83.95,,,
28560000.000000,-84.73,,,
28946667.000000,-85.98,,,
29333333.000000,-85.53,,,
29720000.000000,-85.53,,,
30106667.000000,-85.57,,,
30493333.000000,-85.16,,,
30880000.000000,-84.86,,,
31266667.000000,-84.87,,,
31653333.000000,-84.49,,,
32040000.000000,-84.03,,,
32426667.000000,-84.77,,,
32813333.000000,-84.28,,,
33200000.000000,-83.52,,,
33586667.000000,-82.97,,,
33973333.000000,-83.15,,,
34360000.000000,-82.11,,,
34746667.000000,-81.20,,,
35133333.000000,-82.02,,,
35520000.000000,-81.55,,,
35906667.000000,-81.66,,,
36293333.000000,-81.44,,,
36680000.000000,-80.83,,,
37066667.000000,-80.34,,,
37453333.000000,-79.96,,,
37840000.000000,-80.65,,,
38226667.000000,-80.61,,,
38613333.000000,-79.62,,,
39000000.000000,-79.81,,,
39386667.000000,-78.52,,,
39773333.000000,-78.05,,,
40160000.000000,-77.74,,,
40546667.000000,-77.24,,,
40933333.000000,-76.59,,,
41320000.000000,-75.88,,,
41706667.000000,-75.25,,,
42093333.000000,-73.94,,,
42480000.000000,-72.90,,,
42866667.000000,-71.53,,,
43253333.000000,-70.22,,,
43640000.000000,-69.00,,,
44026667.000000,-67.75,,,
44413333.000000,-66.40,,,
44800000.000000,-65.04,,,
45186667.000000,-63.42,,,
45573333.000000,-61.72,,,
45960000.000000,-59.52,,,
46346667.000000,-56.89,,,
46733333.000000,-54.11,,,
47120000.000000,-52.40,,,
47506667.000000,-52.96,,,
47893333.000000,-55.70,,,
48280000.000000,-58.69,,,
48666667.000000,-61.44,,,
49053333.000000,-63.66,,,
49440000.000000,-65.46,,,
49826667.000000,-67.52,,,
50213333.000000,-68.76,,,
50600000.000000,-70.18,,,
50986667.000000,-71.22,,,
51373333.000000,-72.39,,,
51760000.000000,-73.11,,,
52146667.000000,-73.70,,,
52533333.000000,-74.15,,,
52920000.000000,-74.24,,,
53306667.000000,-74.91,,,
53693333.000000,-75.20,,,
54080000.000000,-74.82,,,
54466667.000000,-74.94,,,
54853333.000000,-74.87,,,
55240000.000000,-74.07,,,
55626667.000000,-74.36,,,
56013333.000000,-74.16,,,
56400000.000000,-73.58,,,
56786667.000000,-73.18,,,
57173333.000000,-72.99,,,
57560000.000000,-72.71,,,
57946667.000000,-72.50,,,
58333333.000000,-72.32,,,
58720000.000000,-72.00,,,
59106667.000000,-71.56,,,
59493333.000000,-71.55,,,
59880000.000000,-71.49,,,
60266667.000000,-71.17,,,
60653333.000000,-71.00,,,
61040000.000000,-70.61,,,
61426667.000000,-70.28,,,
61813333.000000,-70.08,,,
62200000.000000,-69.71,,,
62586667.000000,-69.49,,,
62973333.000000,-69.15,,,
63360000.000000,-68.94,,,
63746667.000000,-68.54,,,
64133333.000000,-68.17,,,
64520000.000000,-67.82,,,
64906667.000000,-67.37,,,
65293333.000000,-67.03,,,
65680000.000000,-66.75,,,
66066667.000000,-66.30,,,
66453333.000000,-65.75,,,
66840000.000000,-65.27,,,
67226667.000000,-64.70,,,
67613333.000000,-63.93,,,
68000000.000000,-63.15,,,
68386667.000000,-62.26,,,
68773333.000000,-61.03,,,
69160000.000000,-59.94,,,
69546667.000000,-59.04,,,
69933333.000000,-58.94,,,
70320000.000000,-60.36,,,
70706667.000000,-63.15,,,
71093333.000000,-66.74,,,
71480000.000000,-70.04,,,
71866667.000000,-73.59,,,
72253333.000000,-77.40,,,
72640000.000000,-79.37,,,
73026667.000000,-80.11,,,
73413333.000000,-79.33,,,
73800000.000000,-77.99,,,
74186667.000000,-77.28,,,
74573333.000000,-75.81,,,
74960000.000000,-75.24,,,
75346667.000000,-74.69,,,
75733333.000000,-74.30,,,
76120000.000000,-73.76,,,
76506667.000000,-73.47,,,
76893333.000000,-73.23,,,
77280000.000000,-73.15,,,
77666667.000000,-72.88,,,
78053333.000000,-73.18,,,
78440000.000000,-72.62,,,
78826667.000000,-73.09,,,
79213333.000000,-72.81,,,
79600000.000000,-72.87,,,
79986667.000000,-72.91,,,
80373333.000000,-72.55,,,
80760000.000000,-72.69,,,
81146667.000000,-73.00,,,
81533333.000000,-72.75,,,
81920000.000000,-72.56,,,
82306667.000000,-72.75,,,
82693333.000000,-72.23,,,
83080000.000000,-72.02,,,
83466667.000000,-72.36,,,
83853333.000000,-71.82,,,
84240000.000000,-71.79,,,
84626667.000000,-71.59,,,
85013333.000000,-71.41,,,
85400000.000000,-71.29,,,
85786667.000000,-71.18,,,
86173333.000000,-70.50,,,
86560000.000000,-70.57,,,
86946667.000000,-70.32,,,
87333333.000000,-69.99,,,
87720000.000000,-69.58,,,
88106667.000000,-69.35,,,
88493333.000000,-69.13,,,
88880000.000000,-68.66,,,
89266667.000000,-68.47,,,
89653333.000000,-68.07,,,
90040000.000000,-68.04,,,
90426667.000000,-67.77,,,
90813333.000000,-67.30,,,
91200000.000000,-67.11,,,
91586667.000000,-67.03,,,
91973333.000000,-66.70,,,
92360000.000000,-66.36,,,
92746667.000000,-66.30,,,
93133333.000000,-65.95,,,
93520000.000000,-65.67,,,
93906667.000000,-65.40,,,
94293333.000000,-64.87,,,
94680000.000000,-64.62,,,
95066667.000000,-64.20,,,
95453333.000000,-63.74,,,
95840000.000000,-63.14,,,
96226667.000000,-62.68,,,
96613333.000000,-61.91,,,
97000000.000000,-61.29,,,
97386667.000000,-60.51,,,
97773333.000000,-59.79,,,
98160000.000000,-59.08,,,
98546667.000000,-58.39,,,
98933333.000000,-57.62,,,
99320000.000000,-56.97,,,
99706667.000000,-56.39,,,
100093333.000000,-55.90,,,
100480000.000000,-55.63,,,
100866667.000000,-55.51,,,
101253333.000000,-55.46,,,
101640000.000000,-55.39,,,
102026667.000000,-55.47,,,
102413333.000000,-55.63,,,
102800000.000000,-55.71,,,
103186667.000000,-55.80,,,
103573333.000000,-55.92,,,
103960000.000000,-56.01,,,
104346667.000000,-55.98,,,
104733333.000000,-56.04,,,
105120000.000000,-55.99,,,
105506667.000000,-55.91,,,
105893333.000000,-55.82,,,
106280000.000000,-55.71,,,
106666667.000000,-55.48,,,
107053333.000000,-55.22,,,
107440000.000000,-55.00,,,
107826667.000000,-54.72,,,
108213333.000000,-54.43,,,
108600000.000000,-54.18,,,
108986667.000000,-53.81,,,
109373333.000000,-53.58,,,
109760000.000000,-53.54,,,
110146667.000000,-53.56,,,
110533333.000000,-53.78,,,
110920000.000000,-54.34,,,
111306667.000000,-55.10,,,
111693333.000000,-56.01,,,
112080000.000000,-57.03,,,
112466667.000000,-58.23,,,
112853333.000000,-59.41,,,
113240000.000000,-60.54,,,
113626667.000000,-61.56,,,
114013333.000000,-62.55,,,
114400000.000000,-63.40,,,
114786667.000000,-64.34,,,
115173333.000000,-65.14,,,
115560000.000000,-65.82,,,
115946667.000000,-66.47,,,
116333333.000000,-67.10,,,
116720000.000000,-67.40,,,
117106667.000000,-67.74,,,
117493333.000000,-68.14,,,
117880000.000000,-68.20,,,
118266667.000000,-68.23,,,
118653333.000000,-68.65,,,
119040000.000000,-68.62,,,
119426667.000000,-69.10,,,
119813333.000000,-69.03,,,
120200000.000000,-69.17,,,
120586667.000000,-69.06,,,
120973333.000000,-69.07,,,
121360000.000000,-69.24,,,
121746667.000000,-69.18,,,
122133333.000000,-69.20,,,
122520000.000000,-69.01,,,
122906667.000000,-69.05,,,
123293333.000000,-69.04,,,
123680000.000000,-68.89,,,
124066667.000000,-68.92,,,
124453333.000000,-68.96,,,
124840000.000000,-68.96,,,
125226667.000000,-68.72,,,
125613333.000000,-68.80,,,
126000000.000000,-68.50,,,
126386667.000000,-68.50,,,
126773333.000000,-68.44,,,
127160000.000000,-68.19,,,
127546667.000000,-68.20,,,
127933333.000000,-67.90,,,
128320000.000000,-67.78,,,
128706667.000000,-67.56,,,
129093333.000000,-67.57,,,
129480000.000000,-67.18,,,
129866667.000000,-67.05,,,
130253333.000000,-66.84,,,
130640000.000000,-66.77,,,
131026667.000000,-66.38,,,
131413333.000000,-66.17,,,
131800000.000000,-65.87,,,
132186667.000000,-65.49,,,
132573333.000000,-65.26,,,
132960000.000000,-64.85,,,
133346667.000000,-64.60,,,
133733333.000000,-64.43,,,
134120000.000000,-63.90,,,
134506667.000000,-63.42,,,
134893333.000000,-63.19,,,
135280000.000000,-62.54,,,
135666667.000000,-62.28,,,
136053333.000000,-61.78,,,
136440000.000000,-61.21,,,
136826667.000000,-60.63,,,
137213333.000000,-60.13,,,
137600000.000000,-59.60,,,
137986667.000000,-59.08,,,
138373333.000000,-58.55,,,
138760000.000000,-58.17,,,
139146667.000000,-57.83,,,
139533333.000000,-57.63,,,
139920000.000000,-57.62,,,
140306667.000000,-57.69,,,
140693333.000000,-57.85,,,
141080000.000000,-58.36,,,
141466667.000000,-58.83,,,
141853333.000000,-59.36,,,
142240000.000000,-59.98,,,
142626667.000000,-60.53,,,
143013333.000000,-61.17,,,
143400000.000000,-61.84,,,
143786667.000000,-62.45,,,
144173333.000000,-62.92,,,
144560000.000000,-63.52,,,
144946667.000000,-64.05,,,
145333333.000000,-64.39,,,
145720000.000000,-64.80,,,
146106667.000000,-65.28,,,
146493333.000000,-65.89,,,
146880000.000000,-66.08,,,
147266667.000000,-66.47,,,
147653333.000000,-66.79,,,
148040000.000000,-66.87,,,
148426667.000000,-67.22,,,
148813333.000000,-67.39,,,
149200000.000000,-67.66,,,
149586667.000000,-67.65,,,
