Machine Module,T3SA3200
Y Axis Scale,LOG
Y Axis Unit,dBm
PreAmp State,OFF
Ref Level,-20.00 dBm
Ref Offset,0.00 dB
Attenuation,0,Manual
X Axis Scale,LINE
Impedance,50
Number of Points,751
Sweep Time(s),0.024000,Auto
Sweep Times Type,Continuous
Sweep Mode,Auto
Sweep Rule,Speed
Start Frequency,250000000
Stop Frequency,350000000
Offset Frequency,0
Average Type,Log Pwr
RBW,1000000.000000,Auto
VBW,1000000.000000,Auto
RBW Filter,Gaussian
Trigger Source,FreeRun
Trigger Level,0.00 dBm
External Trigger Edge,RISE
Video Trigger Edge,RISE
Marker Information
Marker,Trace,Type,X Axis,Amplitude
Peak Table Information
Peak Threshold,-90.00 dBm
Peak Excursion,15.00 dB
Peak,Trace,X Axis,Amplitude
0,1,309.200000 MHz,-48.03 dBm
Trace Math Type,Off
Trace Math Offset, 0
Trace Variable X,Trace A
Trace Variable Y,Trace B
Trace Variable Z,Trace C
Trace Name,Trace A,Trace B,Trace C,Trace D
Trace Type,Average,Blank,Blank,Blank
Trace Detector,Pos Peak,Pos Peak,Pos Peak,Pos Peak
Trace Data
250000000.000000,-62.87,,,
250133333.000000,-62.83,,,
250266667.000000,-62.83,,,
250400000.000000,-62.88,,,
250533333.000000,-62.90,,,
250666667.000000,-62.92,,,
250800000.000000,-62.91,,,
250933333.000000,-63.04,,,
251066667.000000,-63.07,,,
251200000.000000,-63.14,,,
251333333.000000,-63.19,,,
251466667.000000,-63.18,,,
251600000.000000,-63.24,,,
251733333.000000,-63.20,,,
251866667.000000,-63.04,,,
252000000.000000,-63.26,,,
252133333.000000,-63.10,,,
252266667.000000,-63.14,,,
252400000.000000,-63.03,,,
252533333.000000,-63.21,,,
252666667.000000,-63.08,,,
252800000.000000,-63.13,,,
252933333.000000,-63.26,,,
253066667.000000,-63.22,,,
253200000.000000,-63.14,,,
253333333.000000,-63.25,,,
253466667.000000,-63.37,,,
253600000.000000,-63.21,,,
253733333.000000,-63.16,,,
253866667.000000,-63.18,,,
254000000.000000,-63.18,,,
254133333.000000,-63.17,,,
254266667.000000,-63.11,,,
254400000.000000,-63.11,,,
254533333.000000,-63.16,,,
254666667.000000,-63.12,,,
254800000.000000,-63.18,,,
254933333.000000,-63.16,,,
255066667.000000,-63.14,,,
255200000.000000,-63.18,,,
255333333.000000,-63.19,,,
255466667.000000,-63.19,,,
255600000.000000,-63.13,,,
255733333.000000,-63.10,,,
255866667.000000,-63.19,,,
256000000.000000,-63.11,,,
256133333.000000,-63.19,,,
256266667.000000,-63.20,,,
256400000.000000,-63.07,,,
256533333.000000,-63.14,,,
256666667.000000,-63.16,,,
256800000.000000,-63.02,,,
256933333.000000,-63.06,,,
257066667.000000,-63.20,,,
257200000.000000,-63.25,,,
257333333.000000,-63.19,,,
257466667.000000,-63.25,,,
257600000.000000,-63.03,,,
257733333.000000,-63.27,,,
257866667.000000,-63.16,,,
258000000.000000,-63.17,,,
258133333.000000,-63.21,,,
258266667.000000,-63.14,,,
258400000.000000,-63.19,,,
258533333.000000,-63.21,,,
258666667.000000,-63.21,,,
258800000.000000,-63.18,,,
258933333.000000,-63.20,,,
259066667.000000,-63.26,,,
259200000.000000,-63.13,,,
259333333.000000,-63.20,,,
259466667.000000,-63.28,,,
259600000.000000,-63.29,,,
259733333.000000,-63.31,,,
259866667.000000,-63.29,,,
260000000.000000,-63.30,,,
260133333.000000,-63.42,,,
260266667.000000,-63.37,,,
260400000.000000,-63.35,,,
260533333.000000,-63.34,,,
260666667.000000,-63.33,,,
260800000.000000,-63.42,,,
260933333.000000,-63.51,,,
261066667.000000,-63.42,,,
261200000.000000,-63.54,,,
261333333.000000,-63.57,,,
261466667.000000,-63.55,,,
261600000.000000,-63.55,,,
261733333.000000,-63.58,,,
261866667.000000,-63.61,,,
262000000.000000,-63.72,,,
262133333.000000,-63.63,,,
262266667.000000,-63.72,,,
262400000.000000,-63.81,,,
262533333.000000,-63.90,,,
262666667.000000,-63.84,,,
262800000.000000,-63.90,,,
262933333.000000,-63.85,,,
263066667.000000,-63.97,,,
263200000.000000,-64.08,,,
263333333.000000,-64.29,,,
263466667.000000,-64.28,,,
263600000.000000,-64.19,,,
263733333.000000,-64.35,,,
263866667.000000,-64.36,,,
264000000.000000,-64.36,,,
264133333.000000,-64.41,,,
264266667.000000,-64.45,,,
264400000.000000,-64.51,,,
264533333.000000,-64.66,,,
264666667.000000,-64.61,,,
264800000.000000,-64.72,,,
264933333.000000,-64.89,,,
265066667.000000,-64.84,,,
265200000.000000,-64.89,,,
265333333.000000,-65.04,,,
265466667.000000,-65.15,,,
265600000.000000,-65.12,,,
265733333.000000,-65.15,,,
265866667.000000,-65.38,,,
266000000.000000,-65.32,,,
266133333.000000,-65.38,,,
266266667.000000,-65.44,,,
266400000.000000,-65.44,,,
266533333.000000,-65.60,,,
266666667.000000,-65.70,,,
266800000.000000,-65.75,,,
266933333.000000,-65.87,,,
267066667.000000,-65.86,,,
267200000.000000,-65.91,,,
267333333.000000,-66.13,,,
267466667.000000,-66.18,,,
267600000.000000,-66.09,,,
267733333.000000,-66.54,,,
267866667.000000,-66.48,,,
268000000.000000,-66.32,,,
268133333.000000,-66.42,,,
268266667.000000,-66.45,,,
268400000.000000,-66.56,,,
268533333.000000,-66.64,,,
268666667.000000,-66.76,,,
268800000.000000,-66.62,,,
268933333.000000,-66.73,,,
269066667.000000,-66.78,,,
269200000.000000,-66.82,,,
269333333.000000,-66.89,,,
269466667.000000,-67.20,,,
269600000.000000,-67.08,,,
269733333.000000,-67.00,,,
269866667.000000,-67.14,,,
270000000.000000,-67.06,,,
270133333.000000,-67.10,,,
270266667.000000,-67.03,,,
270400000.000000,-67.30,,,
270533333.000000,-67.28,,,
270666667.000000,-67.13,,,
270800000.000000,-67.39,,,
270933333.000000,-67.30,,,
271066667.000000,-67.38,,,
271200000.000000,-67.47,,,
271333333.000000,-67.39,,,
271466667.000000,-67.45,,,
271600000.000000,-67.29,,,
271733333.000000,-67.31,,,
271866667.000000,-67.46,,,
272000000.000000,-67.50,,,
272133333.000000,-67.55,,,
272266667.000000,-67.45,,,
272400000.000000,-67.57,,,
272533333.000000,-67.49,,,
272666667.000000,-67.44,,,
272800000.000000,-67.29,,,
272933333.000000,-67.32,,,
273066667.000000,-67.45,,,
273200000.000000,-67.45,,,
273333333.000000,-67.59,,,
273466667.000000,-67.47,,,
273600000.000000,-67.55,,,
273733333.000000,-67.58,,,
273866667.000000,-67.55,,,
274000000.000000,-67.41,,,
274133333.000000,-67.51,,,
274266667.000000,-67.65,,,
274400000.000000,-67.62,,,
274533333.000000,-67.70,,,
274666667.000000,-67.52,,,
274800000.000000,-67.54,,,
274933333.000000,-67.48,,,
275066667.000000,-67.38,,,
275200000.000000,-67.62,,,
275333333.000000,-67.45,,,
275466667.000000,-67.44,,,
275600000.000000,-67.46,,,
275733333.000000,-67.44,,,
275866667.000000,-67.33,,,
276000000.000000,-67.54,,,
276133333.000000,-67.42,,,
276266667.000000,-67.54,,,
276400000.000000,-67.49,,,
276533333.000000,-67.55,,,
276666667.000000,-67.30,,,
276800000.000000,-67.14,,,
276933333.000000,-67.08,,,
277066667.000000,-67.19,,,
277200000.000000,-67.25,,,
277333333.000000,-67.11,,,
277466667.000000,-67.04,,,
277600000.000000,-67.16,,,
277733333.000000,-66.92,,,
277866667.000000,-66.92,,,
278000000.000000,-66.79,,,
278133333.000000,-66.77,,,
278266667.000000,-66.86,,,
278400000.000000,-66.75,,,
278533333.000000,-66.64,,,
278666667.000000,-66.93,,,
278800000.000000,-66.73,,,
278933333.000000,-66.59,,,
279066667.000000,-66.48,,,
279200000.000000,-66.28,,,
279333333.000000,-66.34,,,
279466667.000000,-66.32,,,
279600000.000000,-66.28,,,
279733333.000000,-66.24,,,
279866667.000000,-66.09,,,
280000000.000000,-66.18,,,
280133333.000000,-66.02,,,
280266667.000000,-65.92,,,
280400000.000000,-65.74,,,
280533333.000000,-65.58,,,
280666667.000000,-65.60,,,
280800000.000000,-65.68,,,
280933333.000000,-65.50,,,
281066667.000000,-65.46,,,
281200000.000000,-65.39,,,
281333333.000000,-65.36,,,
281466667.000000,-65.35,,,
281600000.000000,-65.11,,,
281733333.000000,-65.17,,,
281866667.000000,-64.97,,,
282000000.000000,-65.04,,,
282133333.000000,-64.93,,,
282266667.000000,-64.84,,,
282400000.000000,-64.73,,,
282533333.000000,-64.75,,,
282666667.000000,-64.61,,,
282800000.000000,-64.53,,,
282933333.000000,-64.47,,,
283066667.000000,-64.37,,,
283200000.000000,-64.36,,,
283333333.000000,-64.39,,,
283466667.000000,-64.18,,,
283600000.000000,-64.06,,,
283733333.000000,-64.15,,,
283866667.000000,-63.86,,,
284000000.000000,-63.99,,,
284133333.000000,-63.79,,,
284266667.000000,-63.70,,,
284400000.000000,-63.62,,,
284533333.000000,-63.55,,,
284666667.000000,-63.41,,,
284800000.000000,-63.43,,,
284933333.000000,-63.34,,,
285066667.000000,-63.31,,,
285200000.000000,-63.20,,,
285333333.000000,-63.19,,,
285466667.000000,-63.15,,,
285600000.000000,-62.96,,,
285733333.000000,-62.95,,,
285866667.000000,-62.76,,,
286000000.000000,-62.78,,,
286133333.000000,-62.78,,,
286266667.000000,-62.52,,,
286400000.000000,-62.42,,,
286533333.000000,-62.42,,,
286666667.000000,-62.29,,,
286800000.000000,-62.27,,,
286933333.000000,-62.12,,,
287066667.000000,-62.02,,,
287200000.000000,-61.99,,,
287333333.000000,-61.91,,,
287466667.000000,-61.82,,,
287600000.000000,-61.79,,,
287733333.000000,-61.68,,,
287866667.000000,-61.35,,,
288000000.000000,-61.40,,,
288133333.000000,-61.38,,,
288266667.000000,-61.28,,,
288400000.000000,-61.18,,,
288533333.000000,-61.04,,,
288666667.000000,-61.04,,,
288800000.000000,-60.88,,,
288933333.000000,-60.83,,,
289066667.000000,-60.74,,,
289200000.000000,-60.63,,,
289333333.000000,-60.43,,,
289466667.000000,-60.40,,,
289600000.000000,-60.23,,,
289733333.000000,-60.14,,,
289866667.000000,-60.16,,,
290000000.000000,-60.14,,,
290133333.000000,-59.89,,,
290266667.000000,-59.79,,,
290400000.000000,-59.75,,,
290533333.000000,-59.56,,,
290666667.000000,-59.47,,,
290800000.000000,-59.39,,,
290933333.000000,-59.27,,,
291066667.000000,-59.08,,,
291200000.000000,-59.08,,,
291333333.000000,-58.95,,,
291466667.000000,-58.87,,,
291600000.000000,-58.79,,,
291733333.000000,-58.69,,,
291866667.000000,-58.61,,,
292000000.000000,-58.50,,,
292133333.000000,-58.33,,,
292266667.000000,-58.25,,,
292400000.000000,-58.21,,,
292533333.000000,-58.12,,,
292666667.000000,-57.92,,,
292800000.000000,-57.84,,,
292933333.000000,-57.71,,,
293066667.000000,-57.58,,,
293200000.000000,-57.51,,,
293333333.000000,-57.42,,,
293466667.000000,-57.26,,,
293600000.000000,-57.20,,,
293733333.000000,-57.12,,,
293866667.000000,-56.97,,,
294000000.000000,-56.86,,,
294133333.000000,-56.74,,,
294266667.000000,-56.63,,,
294400000.000000,-56.55,,,
294533333.000000,-56.40,,,
294666667.000000,-56.32,,,
294800000.000000,-56.18,,,
294933333.000000,-56.09,,,
295066667.000000,-56.02,,,
295200000.000000,-55.90,,,
295333333.000000,-55.73,,,
295466667.000000,-55.65,,,
295600000.000000,-55.51,,,
295733333.000000,-55.40,,,
295866667.000000,-55.33,,,
296000000.000000,-55.20,,,
296133333.000000,-55.12,,,
296266667.000000,-54.98,,,
296400000.000000,-54.88,,,
296533333.000000,-54.74,,,
296666667.000000,-54.57,,,
296800000.000000,-54.47,,,
296933333.000000,-54.44,,,
297066667.000000,-54.29,,,
297200000.000000,-54.18,,,
297333333.000000,-54.07,,,
297466667.000000,-53.96,,,
297600000.000000,-53.88,,,
297733333.000000,-53.74,,,
297866667.000000,-53.64,,,
298000000.000000,-53.49,,,
298133333.000000,-53.43,,,
298266667.000000,-53.32,,,
298400000.000000,-53.19,,,
298533333.000000,-53.12,,,
298666667.000000,-52.99,,,
298800000.000000,-52.94,,,
