Machine Module,T3SA3200
Y Axis Scale,LOG
Y Axis Unit,dBm
PreAmp State,OFF
Ref Level,-20.00 dBm
Ref Offset,0.00 dB
Attenuation,0,Manual
X Axis Scale,LINE
Impedance,50
Number of Points,751
Sweep Time(s),0.024000,Auto
Sweep Times Type,Continuous
Sweep Mode,Auto
Sweep Rule,Speed
Start Frequency,50000000
Stop Frequency,150000000
Offset Frequency,0
Average Type,Log Pwr
RBW,1000000.000000,Auto
VBW,1000000.000000,Auto
RBW Filter,Gaussian
Trigger Source,FreeRun
Trigger Level,0.00 dBm
External Trigger Edge,RISE
Video Trigger Edge,RISE
Marker Information
Marker,Trace,Type,X Axis,Amplitude
Peak Table Information
Peak Threshold,-90.00 dBm
Peak Excursion,15.00 dB
Peak,Trace,X Axis,Amplitude
0,1,108.400000 MHz,-53.22 dBm
1,1,150.000000 MHz,-58.00 dBm
2,1,68.400000 MHz,-60.27 dBm
Trace Math Type,Off
Trace Math Offset, 0
Trace Variable X,Trace A
Trace Variable Y,Trace B
Trace Variable Z,Trace C
Trace Name,Trace A,Trace B,Trace C,Trace D
Trace Type,Average,Blank,Blank,Blank
Trace Detector,Pos Peak,Pos Peak,Pos Peak,Pos Peak
Trace Data
50000000.000000,-69.42,,,
50133333.000000,-69.98,,,
50266667.000000,-70.31,,,
50400000.000000,-70.81,,,
50533333.000000,-70.94,,,
50666667.000000,-71.49,,,
50800000.000000,-71.60,,,
50933333.000000,-72.15,,,
51066667.000000,-72.47,,,
51200000.000000,-72.97,,,
51333333.000000,-73.16,,,
51466667.000000,-72.91,,,
51600000.000000,-73.10,,,
51733333.000000,-73.99,,,
51866667.000000,-74.00,,,
52000000.000000,-74.07,,,
52133333.000000,-74.33,,,
52266667.000000,-74.79,,,
52400000.000000,-74.86,,,
52533333.000000,-74.86,,,
52666667.000000,-74.85,,,
52800000.000000,-74.71,,,
52933333.000000,-75.00,,,
53066667.000000,-75.05,,,
53200000.000000,-74.83,,,
53333333.000000,-74.64,,,
53466667.000000,-75.11,,,
53600000.000000,-75.38,,,
53733333.000000,-75.16,,,
53866667.000000,-75.26,,,
54000000.000000,-75.27,,,
54133333.000000,-75.00,,,
54266667.000000,-74.90,,,
54400000.000000,-74.93,,,
54533333.000000,-74.83,,,
54666667.000000,-75.34,,,
54800000.000000,-74.97,,,
54933333.000000,-74.68,,,
55066667.000000,-74.93,,,
55200000.000000,-74.47,,,
55333333.000000,-74.22,,,
55466667.000000,-74.08,,,
55600000.000000,-74.25,,,
55733333.000000,-74.40,,,
55866667.000000,-73.88,,,
56000000.000000,-74.22,,,
56133333.000000,-73.95,,,
56266667.000000,-73.95,,,
56400000.000000,-73.58,,,
56533333.000000,-73.71,,,
56666667.000000,-73.43,,,
56800000.000000,-73.71,,,
56933333.000000,-73.16,,,
57066667.000000,-73.32,,,
57200000.000000,-73.20,,,
57333333.000000,-73.25,,,
57466667.000000,-73.35,,,
57600000.000000,-72.90,,,
57733333.000000,-73.25,,,
57866667.000000,-73.05,,,
58000000.000000,-72.60,,,
58133333.000000,-72.94,,,
58266667.000000,-72.39,,,
58400000.000000,-72.49,,,
58533333.000000,-72.35,,,
58666667.000000,-72.28,,,
58800000.000000,-72.09,,,
58933333.000000,-72.05,,,
59066667.000000,-71.92,,,
59200000.000000,-71.48,,,
59333333.000000,-71.76,,,
59466667.000000,-71.68,,,
59600000.000000,-71.67,,,
59733333.000000,-71.56,,,
59866667.000000,-71.24,,,
60000000.000000,-71.19,,,
60133333.000000,-71.02,,,
60266667.000000,-71.20,,,
60400000.000000,-70.84,,,
60533333.000000,-70.91,,,
60666667.000000,-70.74,,,
60800000.000000,-70.56,,,
60933333.000000,-70.54,,,
61066667.000000,-70.46,,,
61200000.000000,-70.27,,,
61333333.000000,-70.38,,,
61466667.000000,-70.04,,,
61600000.000000,-69.90,,,
61733333.000000,-69.88,,,
61866667.000000,-69.94,,,
62000000.000000,-69.77,,,
62133333.000000,-69.71,,,
62266667.000000,-69.69,,,
62400000.000000,-69.49,,,
62533333.000000,-69.36,,,
62666667.000000,-69.15,,,
62800000.000000,-68.82,,,
62933333.000000,-69.06,,,
63066667.000000,-68.55,,,
63200000.000000,-68.81,,,
63333333.000000,-68.48,,,
63466667.000000,-68.41,,,
63600000.000000,-68.33,,,
63733333.000000,-68.41,,,
63866667.000000,-68.08,,,
64000000.000000,-68.15,,,
64133333.000000,-67.73,,,
64266667.000000,-67.66,,,
64400000.000000,-67.65,,,
64533333.000000,-67.44,,,
64666667.000000,-67.44,,,
64800000.000000,-67.18,,,
64933333.000000,-67.03,,,
65066667.000000,-66.82,,,
65200000.000000,-66.82,,,
65333333.000000,-66.44,,,
65466667.000000,-66.27,,,
65600000.000000,-66.03,,,
65733333.000000,-66.06,,,
65866667.000000,-65.82,,,
66000000.000000,-65.60,,,
66133333.000000,-65.18,,,
66266667.000000,-65.14,,,
66400000.000000,-64.83,,,
66533333.000000,-64.78,,,
66666667.000000,-64.22,,,
66800000.000000,-64.12,,,
66933333.000000,-63.73,,,
67066667.000000,-63.63,,,
67200000.000000,-63.10,,,
67333333.000000,-62.71,,,
67466667.000000,-62.47,,,
67600000.000000,-62.14,,,
67733333.000000,-61.70,,,
67866667.000000,-61.40,,,
68000000.000000,-60.89,,,
68133333.000000,-60.60,,,
68266667.000000,-60.48,,,
68400000.000000,-60.27,,,
68533333.000000,-60.46,,,
68666667.000000,-60.65,,,
68800000.000000,-61.41,,,
68933333.000000,-62.10,,,
69066667.000000,-63.13,,,
69200000.000000,-64.33,,,
69333333.000000,-65.57,,,
69466667.000000,-67.09,,,
69600000.000000,-68.54,,,
69733333.000000,-69.94,,,
69866667.000000,-71.85,,,
70000000.000000,-73.47,,,
70133333.000000,-75.06,,,
70266667.000000,-77.71,,,
70400000.000000,-79.63,,,
70533333.000000,-82.51,,,
70666667.000000,-84.81,,,
70800000.000000,-84.63,,,
70933333.000000,-85.94,,,
71066667.000000,-84.44,,,
71200000.000000,-86.15,,,
71333333.000000,-83.71,,,
71466667.000000,-82.15,,,
71600000.000000,-80.59,,,
71733333.000000,-80.76,,,
71866667.000000,-79.69,,,
72000000.000000,-78.99,,,
72133333.000000,-79.25,,,
72266667.000000,-77.31,,,
72400000.000000,-77.09,,,
72533333.000000,-76.08,,,
72666667.000000,-76.45,,,
72800000.000000,-75.35,,,
72933333.000000,-75.15,,,
73066667.000000,-75.34,,,
73200000.000000,-74.69,,,
73333333.000000,-74.60,,,
73466667.000000,-73.87,,,
73600000.000000,-73.80,,,
73733333.000000,-73.59,,,
73866667.000000,-73.74,,,
74000000.000000,-73.54,,,
74133333.000000,-73.10,,,
74266667.000000,-73.20,,,
74400000.000000,-73.24,,,
74533333.000000,-73.00,,,
74666667.000000,-72.82,,,
74800000.000000,-72.42,,,
74933333.000000,-72.38,,,
75066667.000000,-72.57,,,
75200000.000000,-72.58,,,
75333333.000000,-72.29,,,
75466667.000000,-72.09,,,
75600000.000000,-72.06,,,
75733333.000000,-72.03,,,
75866667.000000,-71.86,,,
76000000.000000,-72.00,,,
76133333.000000,-72.09,,,
76266667.000000,-71.62,,,
76400000.000000,-72.10,,,
76533333.000000,-71.90,,,
76666667.000000,-71.79,,,
76800000.000000,-72.01,,,
76933333.000000,-72.13,,,
77066667.000000,-71.83,,,
77200000.000000,-71.89,,,
77333333.000000,-71.70,,,
77466667.000000,-71.67,,,
77600000.000000,-71.73,,,
77733333.000000,-71.99,,,
77866667.000000,-71.55,,,
78000000.000000,-71.43,,,
78133333.000000,-71.58,,,
78266667.000000,-71.54,,,
78400000.000000,-71.74,,,
78533333.000000,-71.65,,,
78666667.000000,-71.77,,,
78800000.000000,-71.48,,,
78933333.000000,-72.13,,,
79066667.000000,-71.90,,,
79200000.000000,-71.72,,,
79333333.000000,-72.05,,,
79466667.000000,-71.57,,,
79600000.000000,-71.78,,,
79733333.000000,-72.02,,,
79866667.000000,-72.46,,,
80000000.000000,-72.22,,,
80133333.000000,-72.48,,,
80266667.000000,-72.11,,,
80400000.000000,-72.21,,,
80533333.000000,-72.00,,,
80666667.000000,-72.45,,,
80800000.000000,-72.45,,,
80933333.000000,-72.56,,,
81066667.000000,-72.29,,,
81200000.000000,-72.30,,,
81333333.000000,-72.28,,,
81466667.000000,-72.72,,,
81600000.000000,-72.56,,,
81733333.000000,-72.48,,,
81866667.000000,-72.82,,,
82000000.000000,-72.86,,,
82133333.000000,-72.57,,,
82266667.000000,-72.84,,,
82400000.000000,-72.55,,,
82533333.000000,-73.00,,,
82666667.000000,-72.90,,,
82800000.000000,-72.90,,,
82933333.000000,-72.77,,,
83066667.000000,-72.90,,,
83200000.000000,-72.52,,,
83333333.000000,-73.11,,,
83466667.000000,-72.87,,,
83600000.000000,-73.17,,,
83733333.000000,-73.23,,,
83866667.000000,-72.72,,,
84000000.000000,-72.88,,,
84133333.000000,-73.05,,,
84266667.000000,-72.87,,,
84400000.000000,-72.79,,,
84533333.000000,-72.91,,,
84666667.000000,-72.69,,,
84800000.000000,-72.36,,,
84933333.000000,-72.36,,,
85066667.000000,-72.83,,,
85200000.000000,-72.50,,,
85333333.000000,-72.69,,,
85466667.000000,-72.42,,,
85600000.000000,-72.20,,,
85733333.000000,-72.36,,,
85866667.000000,-72.42,,,
86000000.000000,-71.94,,,
86133333.000000,-72.14,,,
86266667.000000,-71.68,,,
86400000.000000,-72.00,,,
86533333.000000,-71.57,,,
86666667.000000,-71.55,,,
86800000.000000,-71.35,,,
86933333.000000,-71.48,,,
87066667.000000,-71.44,,,
87200000.000000,-71.02,,,
87333333.000000,-70.76,,,
87466667.000000,-70.50,,,
87600000.000000,-70.74,,,
87733333.000000,-70.71,,,
87866667.000000,-70.42,,,
88000000.000000,-70.62,,,
88133333.000000,-70.37,,,
88266667.000000,-70.18,,,
88400000.000000,-69.98,,,
88533333.000000,-70.06,,,
88666667.000000,-69.65,,,
88800000.000000,-69.92,,,
88933333.000000,-69.77,,,
89066667.000000,-69.33,,,
89200000.000000,-69.14,,,
89333333.000000,-69.16,,,
89466667.000000,-69.28,,,
89600000.000000,-69.36,,,
89733333.000000,-68.59,,,
89866667.000000,-68.73,,,
90000000.000000,-68.57,,,
90133333.000000,-68.45,,,
90266667.000000,-68.41,,,
90400000.000000,-68.21,,,
90533333.000000,-68.14,,,
90666667.000000,-67.95,,,
90800000.000000,-67.72,,,
90933333.000000,-67.85,,,
91066667.000000,-67.53,,,
91200000.000000,-67.23,,,
91333333.000000,-67.48,,,
91466667.000000,-67.14,,,
91600000.000000,-66.90,,,
91733333.000000,-66.92,,,
91866667.000000,-66.85,,,
92000000.000000,-66.67,,,
92133333.000000,-66.58,,,
92266667.000000,-66.47,,,
92400000.000000,-66.52,,,
92533333.000000,-66.33,,,
92666667.000000,-66.22,,,
92800000.000000,-66.13,,,
92933333.000000,-65.87,,,
93066667.000000,-65.57,,,
93200000.000000,-65.53,,,
93333333.000000,-65.46,,,
93466667.000000,-65.20,,,
93600000.000000,-65.16,,,
93733333.000000,-64.99,,,
93866667.000000,-64.92,,,
94000000.000000,-64.56,,,
94133333.000000,-64.47,,,
94266667.000000,-64.31,,,
94400000.000000,-64.29,,,
94533333.000000,-63.99,,,
94666667.000000,-63.72,,,
94800000.000000,-63.60,,,
94933333.000000,-63.42,,,
95066667.000000,-63.28,,,
95200000.000000,-63.03,,,
95333333.000000,-62.74,,,
95466667.000000,-62.59,,,
95600000.000000,-62.32,,,
95733333.000000,-62.18,,,
95866667.000000,-61.89,,,
96000000.000000,-61.71,,,
96133333.000000,-61.52,,,
96266667.000000,-61.44,,,
96400000.000000,-61.14,,,
96533333.000000,-60.78,,,
96666667.000000,-60.61,,,
96800000.000000,-60.47,,,
96933333.000000,-60.26,,,
97066667.000000,-60.06,,,
97200000.000000,-59.93,,,
97333333.000000,-59.81,,,
97466667.000000,-59.72,,,
97600000.000000,-59.62,,,
97733333.000000,-59.49,,,
97866667.000000,-59.49,,,
98000000.000000,-59.34,,,
98133333.000000,-59.29,,,
98266667.000000,-59.31,,,
98400000.000000,-59.22,,,
