Frequency_Hz,Amplitude
39643296.000000,-74.5343628
39990438.272000,-74.9378357
40337580.544000,-74.7247925
40684722.816000,-74.9984283
41031865.088000,-74.1086884
41379007.360000,-74.4844971
41726149.632000,-74.5331802
42073291.904000,-73.4702682
42420434.176000,-73.0962372
42767576.448000,-72.8845673
43114718.720000,-71.8638535
43461860.992000,-71.2735519
43809003.264000,-70.304985
44156145.536000,-68.5359116
44503287.808000,-67.8150024
44850430.080000,-66.4193573
45197572.352000,-64.6638412
45544714.624000,-63.512207
45891856.896000,-61.4039574
46238999.168000,-59.1006012
46586141.440000,-56.4481812
46933283.712000,-53.0452003
47280425.984000,-51.377758
47627568.256000,-52.1098824
47974710.528000,-55.0844841
48321852.800000,-58.1735764
48668995.072000,-60.5092888
49016137.344000,-62.458477
49363279.616000,-64.2578964
49710421.888000,-65.0191956
50057564.160000,-66.594696
50404706.432000,-67.3890991
50751848.704000,-67.954422
51098990.976000,-69.2701416
51446133.248000,-69.237999
51793275.520000,-69.9679489
52140417.792000,-70.4085846
52487560.064000,-70.8145294
52834702.336000,-70.6041718
53181844.608000,-70.8966293
53528986.880000,-70.8055878
53876129.152000,-71.2648621
54223271.424000,-70.6400375
54570413.696000,-71.5943451
54917555.968000,-70.2992172
55264698.240000,-71.229538
55611840.512000,-71.0079346
55958982.784000,-70.6291428
56306125.056000,-71.4568863
56653267.328000,-70.6660309
57000409.600000,-70.6962357
57347551.872000,-70.2062378
57694694.144000,-70.4271774
58041836.416000,-70.0456696
58388978.688000,-70.2023239
58736120.960000,-70.0588837
59083263.232000,-69.8422852
59430405.504000,-70.151123
59777547.776000,-69.4154663
60124690.048000,-69.6056671
60471832.320000,-69.303215
60818974.592000,-68.9142151
61166116.864000,-68.6883316
61513259.136000,-68.6981735
61860401.408000,-68.4751129
62207543.680000,-68.5161285
62554685.952000,-68.0191193
62901828.224000,-67.7378769
63248970.496000,-67.8657074
63596112.768000,-67.6926956
63943255.040000,-67.2582245
64290397.312000,-67.3009033
64637539.584000,-66.4692688
64984681.856000,-65.9988098
65331824.128000,-66.1986771
65678966.400000,-65.654747
66026108.672000,-64.532959
66373250.944000,-64.2780075
66720393.216000,-63.4873238
67067535.488000,-62.9454193
67414677.760000,-61.8593063
67761820.032000,-60.6377563
68108962.304000,-59.8858681
68456104.576000,-59.9494934
68803246.848000,-61.1599426
69150389.120000,-64.0058365
69497531.392000,-67.6314087
69844673.664000,-70.8010254
70191815.936000,-73.2758636
70538958.208000,-74.2898026
70886100.480000,-74.3346634
71233242.752000,-73.617218
71580385.024000,-73.7475281
71927527.296000,-72.7854538
72274669.568000,-72.5021286
72621811.840000,-73.2721558
72968954.112000,-71.8535309
73316096.384000,-70.6594467
73663238.656000,-70.6029129
74010380.928000,-70.2305222
74357523.200000,-70.005394
74704665.472000,-69.7254181
75051807.744000,-69.1644897
75398950.016000,-69.1651077
75746092.288000,-69.979126
76093234.560000,-69.8711014
76440376.832000,-69.468071
76787519.104000,-69.0464478
77134661.376000,-69.1330261
77481803.648000,-68.8375626
77828945.920000,-68.7903137
78176088.192000,-68.5977478
78523230.464000,-69.1431427
78870372.736000,-68.461235
79217515.008000,-69.0965271
79564657.280000,-68.77565
79911799.552000,-69.3291092
80258941.824000,-69.2571564
80606084.096000,-69.1735535
80953226.368000,-68.8677597
81300368.640000,-69.1704559
81647510.912000,-68.9473114
81994653.184000,-69.088913
82341795.456000,-69.1132965
82688937.728000,-68.6593246
83036080.000000,-68.9104233
83383222.272000,-68.3129044
83730364.544000,-68.2734909
84077506.816000,-68.7730713
84424649.088000,-68.8740768
84771791.360000,-67.9096375
85118933.632000,-67.8911514
85466075.904000,-67.8949051
85813218.176000,-66.9160461
86160360.448000,-66.7852249
86507502.720000,-66.2562485
86854644.992000,-65.9084854
87201787.264000,-65.6866455
87548929.536000,-65.0133972
87896071.808000,-64.7021179
88243214.080000,-64.3825378
88590356.352000,-64.0612259
88937498.624000,-63.6156006
89284640.896000,-63.1829414
89631783.168000,-63.189621
89978925.440000,-63.3543205
90326067.712000,-62.8451691
90673209.984000,-63.1937943
91020352.256000,-63.8136787
91367494.528000,-64.0061874
91714636.800000,-64.0508728
92061779.072000,-64.604393
92408921.344000,-64.5118332
92756063.616000,-64.469368
93103205.888000,-64.7203751
93450348.160000,-64.6323776
93797490.432000,-64.881691
94144632.704000,-65.5192871
94491774.976000,-65.8065796
94838917.248000,-66.3962021
95186059.520000,-67.2278976
95533201.792000,-67.7661972
95880344.064000,-68.5611343
