sequence,captured_at,raw_file,elapsed_seconds,parsed_points,elapsed_minutes,mean_amplitude,std_amplitude,min_amplitude,max_amplitude,rms_delta_from_first,rms_delta_from_previous,interpolated_to_reference_grid,filtered_invalid_points
1,2026-05-27 15:05:01.354,000001_20260527_150501_354_trace1.csv,0.0,751.0,0.0,-57.92813988229028,9.805134906126517,-75.7050781,-40.16222,0.0,,False,0
2,2026-05-27 15:05:06.354,000002_20260527_150506_354_trace1.csv,5.0,751.0,0.08333333333333333,-57.74721109187749,9.973606358801637,-75.0997314,-39.8998795,0.7629687960086062,0.7629687960086062,False,0
3,2026-05-27 15:05:11.366,000003_20260527_150511_366_trace1.csv,10.012,751.0,0.16686666666666666,-57.74426281318241,9.976755316196925,-75.2975693,-39.9010773,0.7701449816842231,0.28938569644444684,False,0
4,2026-05-27 15:05:16.364,000004_20260527_150516_364_trace1.csv,15.01,751.0,0.25016666666666665,-57.750265896804265,9.993482780073132,-75.2317886,-39.9034271,0.7843361976038774,0.25798308032395145,False,0
5,2026-05-27 15:05:21.371,000005_20260527_150521_371_trace1.csv,20.017,751.0,0.3336166666666667,-57.73741946338216,9.969000521262874,-75.2133408,-39.907341,0.7728370785411501,0.2620102226619285,False,0
6,2026-05-27 15:05:26.374,000006_20260527_150526_374_trace1.csv,25.02,751.0,0.417,-57.74051013142476,9.977094317076356,-75.11203,-39.8915253,0.7710515481006049,0.2727571445082248,False,0
7,2026-05-27 15:05:31.358,000007_20260527_150531_358_trace1.csv,30.004,751.0,0.5000666666666667,-57.73214440292943,9.967040747816977,-75.335701,-39.8869781,0.7705880201015595,0.2850171685967241,False,0
8,2026-05-27 15:05:36.354,000008_20260527_150536_354_trace1.csv,35.0,751.0,0.5833333333333334,-57.73618145898801,9.97420343904044,-74.9656601,-39.9085655,0.7802575455001306,0.2885800554002127,False,0
9,2026-05-27 15:05:41.357,000009_20260527_150541_357_trace1.csv,40.003,751.0,0.6667166666666666,-57.73350570199734,9.969048321763983,-75.4552078,-39.8910179,0.769052467206561,0.28173204642622807,False,0
10,2026-05-27 15:05:46.367,000010_20260527_150546_367_trace1.csv,45.013,751.0,0.7502166666666666,-57.73364148988015,9.963087609623388,-75.2481689,-39.9067612,0.7729966194180334,0.2782938436653942,False,0
11,2026-05-27 15:05:51.371,000011_20260527_150551_371_trace1.csv,50.017,751.0,0.8336166666666667,-57.73500463249001,9.96897830481649,-75.4238052,-39.9084587,0.7758999359120021,0.2757882499703443,False,0
12,2026-05-27 15:05:56.363,000012_20260527_150556_363_trace1.csv,55.009,751.0,0.9168166666666667,-57.74247867083888,9.979309931189299,-75.1340866,-39.9051208,0.778172132573763,0.2853144419213925,False,0
